Word	Count
။	693
ကို	300
၊	236
သည်	219
ပါ	207
များ	196
ကြ	185
က	146
တို့	126
ရ	110
တွေ	98
တယ်	93
မှာ	91
ပြော	80
တွင်	78
တာ	78
သော	74
မ	72
ရှိ	70
တဲ့	66
လဲ	65
ဆို	65
မယ်	61
နေ	60
ကလေး	59
ပြီး	59
တစ်	58
၏	58
သွား	58
အောင်	57
တော့	56
ထား	54
""""	50
နဲ့	49
ဖြစ်	49
ခဲ့	47
သနည်း	45
သလဲ	43
ကြီး	43
လို့	42
နှင့်	41
ရေး	39
)	37
(	37
လာ	37
လိုက်	35
ထဲ	32
တိရစ္ဆာန်	32
နိုင်	32
အောက်ပါ	31
သူ	30
သူငယ်ချင်း	30
ကြည့်	30
ကာ	29
နွား	29
ဖြင့်	29
၍	29
ကောင်း	28
သင်	27
ပြ	27
နေရာ	27
ပေး	27
စား	27
ငါ	27
လေ	26
သတဲ့	26
ဘာ	26
လည်း	26
၁	26
ခြင်း	26
၂	26
ရေ	25
ပုံပြင်	25
ကစား	24
လေး	24
၃	24
မင်း	24
၄	24
၅	24
ဘယ်လို	23
နိုင်ငံတော်	23
-	23
ကျား	22
စရာ	21
စကားလုံး	21
ရွှေဝါ	21
ဒေါင်း	20
ပဲ	20
အလံ	20
သူ့	20
အသုံးပြု	20
ကျီး	19
ရဲ့	19
ကျွန်တော်	19
မည်သည့်	19
ကျောင်း	18
မှ	18
တတ်	18
သိ	18
သည့်	17
စွာ	17
ဟု	17
လူ	17
ပေါ်	17
ပေါ့	17
တွေ့	17
ယုန်	17
ရုပ်	17
လေ့ကျင့်	16
၆	16
အဘယ်ကြောင့်	16
မောင်ပို	16
လား	16
ဟာ	16
ပြန်	16
သို့	16
ချင်	15
ဖော်ပြ	15
ရာ	15
ယာဉ်	15
ရှာ	15
ကိုယ်	15
အ	15
ဒီ	15
ရွာ	15
ရောက်	15
ဘူး	15
စ	14
ရင်	14
ဥယျာဉ်	14
ရင်း	14
ဖြေ	14
ကောင်	14
လုပ်	14
အဓိပ္ပာယ်	13
ဖတ်	13
သုံး	13
အကြောင်းအရာ	13
ငါ့	13
သင်္ကြန်	13
အရုပ်	13
ထို	13
လိပ်	13
ပြီ	13
သခင်	13
ပေ	13
နိုင်ငံ	13
သာဓက	12
အစာ	12
ဦး	12
ကွာ	12
ရယ်	12
လ	12
အမည်	12
မျောက်	11
စာ	11
ပါဝင်	11
မြန်မာ	11
ကျွန်ုပ်	11
ဦးကြီး	11
မေးခွန်း	11
ဝါကျ	11
နော်	11
ရန်	11
အတွက်	11
စာအုပ်	11
လို	11
ဆီ	11
ငညို	11
ဖွဲ့	10
နည်း	10
မျိုး	10
စကား	10
...	10
မည်သို့	10
အကြောင်း	10
ကျ	10
ဘာကြောင့်	10
နှစ်သက်	10
အခါ	10
သတ်ပုံ	10
ပြုလုပ်	10
စာလုံးပေါင်း	10
ပွဲ	10
တစ်နေ့	10
သမီး	10
ဆုံး	10
အဲဒီ	9
ညီနောင်	9
အသင်း	9
ဖော်ညွှန်း	9
ကျေး	9
နေ့	9
ဆွဲ	9
ခိုး	9
စိုက်ပျိုး	9
ဖတ်စာ	9
အလေးပြု	9
အားလုံး	9
အလွန်	9
ဆရာ	9
မြန်မာ့	9
စဉ်းစား	9
သေး	9
သင့်	9
ကျွေး	9
ရိုးရာ	9
ဘယ်သူ	9
စေ	9
လုံး	8
၌	8
ပို	8
ညီပုလေး	8
ခန်း	8
မေမေ	8
နှစ်	8
ယောက်	8
ယူ	8
ဘုရင်	8
အား	8
ကြိုးစား	8
လှ	8
ဖို့	8
၇	8
အစိမ်းရောင်	8
မြဲ	8
နောက်	8
သာ	8
ထောင်ချောက်	8
လေ့	8
ခေါ်	8
မင်းမင်း	8
ကောင်းမြတ်	8
ပညာ	7
ဘယ်	7
မွေးမြူ	7
အခန်း	7
ဖေဖေ	7
မြတ်	7
တောင်	7
စာဖတ်	7
ကိုယ့်	7
လျှင်	7
မြင်	7
မှတ်	7
ငါး	7
ကြောင်း	7
ဆောင်ရွက်	7
တခြား	7
မည်	7
လယ်သမား	7
ဝင်	6
မွေး	6
စိတ်	6
သဖြင့်	6
ကွယ်	6
အပြင်	6
တက်	6
သား	6
သင်ခန်းစာ	6
ပွင့်	6
ကွဲပြားခြားနား	6
ပျော်ပျော်ရွှင်ရွှင်	6
အမေ	6
ခု	6
ရွေ့လျား	6
ကာလ	6
ဗဟုသုတ	6
ဖူး	6
ဈေး	6
ငှက်	6
အချိန်	6
ပေးစာ	6
သလား	6
ကျေးဇူးရှင်	6
လယ်ယာ	6
ဒါကြောင့်	6
မိ	6
အထိ	6
ရရစ်	6
ထို့ကြောင့်	6
ရာသီ	6
ဆုံးဖြတ်	6
မှု	6
ရသေ့	6
တည်ဆောက်	6
အကြီး	6
ဟူသော	6
ဥတု	6
လျက်	6
လမ်း	6
ယပင့်	6
ဘာဖြစ်	5
အတူတူ	5
ဝတ်	5
ဗိုက်ဆာ	5
ကြောင်	5
ရော	5
အချင်းချင်း	5
ခိုင်း	5
ဒါ	5
မိုး	5
မဲ့	5
အိမ်	5
စီ	5
ပြု	5
ပန်း	5
မှတ်စု	5
မိတ်ဆွေ	5
ဟုတ်	5
သောအခါ	5
ညီ	5
ကျေးငှက်	5
ထွက်	5
စကားပုံ	5
ရုံ	5
အနီရောင်	5
အဝါရောင်	5
ရပ်	5
ဝါသနာ	5
ပုံသဏ္ဌာန်	5
ခရီး	5
ပုံ	5
ကဲ့သို့	5
ချင်း	5
ချစ်	5
ပျံသန်း	5
တုန်း	5
သိပ်	5
တစ်ခါ	5
မျက်နှာ	5
ပင်	5
ရေသဘင်ပွဲ	5
သစ်ပင်	5
အသံ	5
သာယာ	5
ဘဲ	5
တောင်သူ	5
ပျော်	5
အလိုက်	5
အကြိုက်ဆုံး	4
ရွေး	4
ခေါင်းစဉ်	4
တာဝန်	4
မောင်	4
တော	4
ပါး	4
ပြည့်	4
အမျိုးမျိုး	4
စိမ်းလန်း	4
သစ်	4
စားကျက်	4
အင်းအိုင်	4
ပွဲတော်	4
ယဉ်ကျေး	4
ပန်းချီ	4
ဟစ်အော်	4
လှပ	4
ဇီးကွက်	4
မြင်း	4
အေးမြ	4
၈	4
ကျွန်တော့်	4
ကား	4
ချိန်	4
ပိုဒ်	4
ဟုတ်လား	4
ဆင်	4
လွှတ်	4
သင်္ဘော	4
လှေ	4
လိုအပ်	4
အရိပ်	4
စာပိုဒ်	4
ပန်းတိုင်	4
အတန်း	4
ဆင်နွှဲ	4
တသတ်	4
ခြံကျယ်ကြီး	4
ကျွေးမွေး	4
ကဗျာ	4
ပျော်ရွှင်	4
နာမည်	4
ဂ	4
ခြံ	4
ကိုယ်တိုင်	4
ဟော	4
အစ်ကို	4
သံဆန်ခါ	4
ယောင်ဆောင်	4
ပြန်လှန်	4
စာဆို	4
လောက်	4
ဘယ်သူ့	4
ရှေ့	4
ဒေါက်တို	4
မှန်	4
သဘာဝ	4
ရွှေပြည်စိုး	4
လုပ်ငန်း	4
ရန်လို	4
လေးစား	4
လှည့်လည်	4
ကျောင်းသား	4
ငွေ	4
ငယ်	4
သူ့ထက်ကဲ	4
ကျေးဇူး	4
လိမ့်	4
ဆိုင်	3
င	3
တန်း	3
ခ	3
ကြက်	3
ကျေးညီနောင်	3
လယ်ထွန်	3
တိုင်း	3
ကြား	3
ချိုး	3
ကြာ	3
အပ်	3
မုန်းတီး	3
ပစ်တိုင်းထောင်	3
ခရီးသွား	3
တပ်ဆင်	3
လှည်း	3
ဖွယ်	3
အထင်ကြီး	3
ဝယ်	3
ဃ	3
အရာ	3
ရုပ်ပုံ	3
မုန့်	3
ရှေး	3
လုပ်ဆောင်	3
သီချင်း	3
ပြဇာတ်	3
လယ်	3
ကြယ်	3
ညောင်ပင်	3
တောင်ပံ	3
တဲ	3
စမ်း	3
ပေ့	3
သာမက	3
ပန်ကာ	3
ည	3
ဖောင်	3
ချောင်း	3
လက်စွပ်	3
ခုတ်	3
ကယ်	3
ဒီလို	3
စိတ်ဝင်စား	3
အဖြူရောင်	3
ဆန်စပါး	3
ပေါ်ပေါက်	3
မြေ	3
အထူးအဆန်း	3
ကြောင့်	3
ရွှေ	3
အဆုံးအဖြတ်	3
ပညာရှိ	3
အရောင်	3
ခင်ဗျာ	3
မိခင်	3
အဆုံးသတ်	3
အုန်းသီး	3
ဆက်	3
အမျိုး	3
စက်တွန်းအား	3
မူတည်	3
လှည်းယဉ်	3
ရွက်လှေ	3
ရက်	3
ထိုအခါ	3
ကူး	3
သင်ကြား	3
ဝန်ကြီးဌာန	3
နိုး	3
ခွဲ	3
ဝက်	3
ငို	3
ကျော်	3
အဲဒီလို	3
မိုးဥတု	3
အို	3
ကြွေ	3
အလုပ်	3
မြစ်ချောင်း	3
အခု	3
ဒါပေမဲ့	3
အိပ်ရာ	3
နားလည်	3
မှတ်မိ	3
ကြွက်	3
တည်း	3
ညီမ	3
လက်	3
ကုသိုလ်	3
အများကြီး	3
ကွ	3
သော်	3
အတာ	3
အုံး	3
စောင့်	3
သဘောကျ	3
မနေ့	3
ဘုရား	3
တန်ခူးလ	3
ပြေး	3
ဝတ်ဆင်	3
အလှ	3
နား	3
အပြေးပြိုင်	3
ရက်နေ့	3
ဟေ့	3
သွေးတူမွေးတူ	3
သရုပ်ဆောင်	3
အမြန်	2
အဖြစ်အပျက်	2
ထိုး	2
ဘယ်နှ	2
ဇာတ်ဆောင်	2
အစိုးရ	2
နားထောင်	2
လျင်မြန်	2
ဘက်	2
လွတ်	2
စီး	2
တွန်ကျူး	2
ရန်ကုန်	2
အခြား	2
တရွေ့ရွေ့	2
ဝါဆိုလပြည့်	2
ခေါင်းလောင်း	2
ဘီး	2
ဆုံးဖြတ်ချက်	2
ကဲ့ရဲ့	2
နာကျင်	2
ပူပြင်း	2
ခြောက်သွေ့	2
၂၀၁၉	2
၂၀၂၀	2
အဖြေ	2
သတ်	2
နွားခေါင်းရိုး	2
အလံတိုင်	2
ထိုင်	2
ဝိုင်းဖွဲ့	2
ကျွတ်	2
ဒီအခါ	2
ကြောက်	2
ကျော်ညွန့်	2
ရေနံ့သာ	2
ပေါင်း	2
နောက်ဆုံး	2
လမ်းခရီး	2
သမ္မတ	2
သတည်း	2
ဘုန်းပြည့်	2
အသစ်	2
အုတ်တံတိုင်း	2
မိသားစု	2
သင်ယူ	2
အသုံး	2
အချစ်ဆုံး	2
နှင်ထုတ်	2
ရှည်	2
ထွန်ယက်	2
သိမ်းဆည်း	2
မူ	2
အုတ်	2
အချို့	2
သီးသန့်	2
အသုံးဝင်	2
အစ	2
ခြံခတ်	2
သီကျူး	2
သံ	2
စက်	2
ထွန်းကား	2
ကုန်ဆုံး	2
စိုစွတ်	2
ရောင်စုံ	2
ခံစား	2
မင်္ဂလာ	2
ရှင်	2
ချေ	2
အဆင်တန်ဆာ	2
ချူ	2
ဟူ၍	2
အသိုက်	2
နောင်တ	2
အနီးကပ်	2
ပင်ဝါးရုံ	2
မီး	2
မော်တော်ကား	2
ချက်ချင်း	2
ခင်	2
စာသင်	2
စို့	2
ယိမ်း	2
ဖိုးခွား	2
မြောက်	2
ကုန်းလမ်း	2
ဇွဲ	2
အဝတ်	2
ရာသီဥတု	2
....	2
အရင်	2
တန်ဆောင်မုန်း	2
မိတ်ဆက်	2
ကာရံ	2
ဝတ်စားဆင်ယင်	2
လီ	2
ခေါင်းလျှော်	2
ကြည့်ရှု	2
မိုးဖြိုင်ဖြိုင်	2
တွေး	2
ဇာတ်လမ်း	2
အဲ	2
စကားထာ	2
ညသတ်	2
ပြည်ထောင်စု	2
ကုန်	2
အိုးပုတ်	2
ရွှံ့	2
သက်ကြီးရွယ်အို	2
ခါ	2
နသတ်	2
အငယ်	2
အဝေး	2
ပြောင်း	2
လူမှုရေး	2
ကိစ္စ	2
န	2
အတူ	2
အားကိုး	2
ကိုယ့်ကိုယ်ကိုယ်	2
ကျေးဇူးတင်	2
တ	2
လေ့လာ	2
အပေါ်	2
ပြသ	2
စက္ကူ	2
သေနတ်	2
ကောက်ယူ	2
ချစ်ခင်	2
ဝါး	2
ချိတ်ဆွဲ	2
ကျောင်းသင်္ခမ်း	2
ရေကန်	2
မောပန်း	2
ကသတ်	2
အိုးစည်	2
သစ်သား	2
ထိုးဆိတ်	2
သစ်ပင်ရိပ်	2
အပန်းဖြေ	2
ဖိုးဝ	2
ဘေး	2
တိုက်တွန်း	2
ရောင်း	2
အားလပ်ချိန်	2
ရိုင်းစိုင်း	2
ဆော့	2
ခေါင်း	2
ညောင်ညောင်	2
မဂ္ဂဇင်း	2
ကူးပြောင်း	2
လိမ္မာ	2
နှစ်သစ်ကူး	2
ချီးမွမ်း	2
အကျိုး	2
နာရီ	2
မနက်	2
မောင်မောင်	2
ထင်	2
နူးညံ့သိမ်မွေ့	2
ဆင့်	2
ကျင်းပ	2
ရောင်းစား	2
သမျှ	2
လွန်	2
အရှင်မင်းကြီး	2
အပြေး	2
ဖမ်း	2
ကဲ	2
အမြဲတမ်း	2
အင်း	2
နင့်	2
ရိုး	2
အေးပါ	2
ရေသပ္ပာယ်	2
ဆောင်	2
ရေချိုး	2
ကိုင်း	2
အက	2
မြို့	2
လူငယ်	2
ငါတို့	2
ထည်ဝါ	2
အောက်	2
ခံ	2
နေ့စဉ်	2
ချ	2
သန့်ရှင်း	2
အဝတ်အထည်	2
စားသုံးဆီ	2
ကာတွန်း	2
သစ်သီးဝလံ	2
ခန္ဓာကိုယ်	2
ညီအစ်ကို	2
မြေဆီဩဇာ	2
ပြိုင်ပွဲ	2
ကျေးငယ်	2
မျက်လှည့်	2
သယ်ယူပို့ဆောင်ရေး	2
မြင့်	2
အော်	2
အေး	2
အကျိုးကျေးဇူး	2
အဖြစ်	2
မေး	2
ဉာဏ်ပညာ	2
ညီညွတ်	2
ကြွားဝါ	2
လွတ်လပ်ရေး	2
အကြံဉာဏ်	2
ပြား	2
ဟလို	2
ကရုဏာ	2
ငှက်ပျောသီး	2
ခွာ	2
မျိုးစုံ	2
အနှစ်သက်ဆုံး	2
မဏ္ဍပ်	2
နားမထောင်	2
ထုတ်	2
အမြဲ	2
တန်းစီ	2
လေပြင်းမုန်တိုင်း	2
လှော်တက်	2
ရွာသား	2
စသတ်	2
ထောင်	2
စိုက်ပျိုးရေး	2
ရွက်	2
ရဟတ်ယာဉ်	2
အသီးအနှံ	2
ရိုသေ	2
မောင်ထက်မြက်	2
လေယာဉ်ပျံ	2
ဦးညွှတ်	2
စွမ်းအင်	2
ခုန်ကူး	1
စရိုက်	1
တတိယ	1
တံတိုင်း	1
သစ်ကိုင်း	1
နေပြည်တော်	1
ကမ္ဘာ	1
ကွင်း	1
မနက်စာ	1
ကြံ	1
တဖွေးဖွေး	1
ခြေတံ	1
သံဆန်ခါကွက်	1
သေ	1
ကျယ်	1
သမင်	1
အုပ်မိုး	1
ကြက်တူရွေး	1
ပွင့်ဖြူ	1
အဖော်	1
အပြန်	1
အလျောက်	1
ဝေး	1
ကျက်စား	1
လာရောက်	1
စားသောက်	1
နေ့လယ်စာ	1
နီ	1
ဆင်း	1
တည်	1
မိုးကုပ်အောက်	1
ကျယ်ဝန်း	1
ပနံ	1
တင့်	1
လွတ်လပ်	1
*	1
စိတ်ဝင်တစား	1
သစ်ကုလားအုတ်	1
အရိပ်အာဝါသ	1
မြင်းကျား	1
နားခို	1
ဖျံ	1
လဲလှယ်	1
ဆောင်း	1
နွေ	1
ကျားသစ်	1
မင်းသုဝဏ်	1
ငြိမ်	1
ခြင်္သေ့	1
ဝက်ဝံ	1
ပြင်	1
အနီး	1
နွေဥတု	1
ရည်	1
ဘိုးဘွား	1
မိဘ	1
ရိုသေထိုက်သူ	1
ကန်တော့	1
ရေပက်	1
ဖလား	1
အမွှေး	1
နံ့သာ	1
ထည့်	1
ရတနာသုံးပါး	1
သပြေခက်	1
ဗုံမောင်း	1
တီး	1
အခုန်	1
တေးသီချင်း	1
သံချပ်	1
ဖျော်ဖြေ	1
သိမ်မွေ့	1
ဆရာသမား	1
လှူဒါန်း	1
ဘေးအန္တရာယ်	1
ကြမ်းတမ်း	1
သောက်	1
သစ်သီး	1
ကြိုဆို	1
ကျေးသား	1
အကျွန်ုပ်	1
မုန်တိုင်း	1
တကွဲတပြားစီ	1
ညီလေး	1
ပြုံး	1
စတုဒိသာ	1
အန္တရာယ်	1
ကွဲ	1
အပြောအဆို	1
ပိတောက်ပန်းပွင့်	1
ရေသဘင်ပွဲတော်	1
ဟောင်း	1
အများ	1
ဘုရားပုထိုး	1
တန်ခူး	1
အဘယ်	1
ရေသဘင်	1
လု	1
အနီးဆုံး	1
ဒူးထောက်	1
လက်အုပ်ချီဟန်	1
အဲဒါကြောင့်	1
ပိုင်	1
သ	1
စင်စစ်	1
ချည်း	1
တာဝန်ကျေကျေ	1
အတွေ့အကြုံ	1
စုပေါင်း	1
ကျေနပ်	1
အငယ်ဆုံး	1
လက်ခံ	1
ထူးခြား	1
သေချာ	1
ဖတ်စာအုပ်	1
အုပ်	1
လက်အုပ်ချီ	1
မြှောက်	1
လက်သူကြွယ်	1
ခင်ဗျ	1
ခန့်	1
အဝ	1
ခေါင်းမော့	1
ကော့	1
လက်မ	1
အောင်မယ်	1
ညွှန်ပြ	1
စိတ်ဆိုးမာန်ဆိုး	1
ဟန်	1
လက်ညှိုးထိုး	1
ဝင့်ကြွား	1
ခြေဖျား	1
ထောက်	1
ဟားဟား	1
လောက	1
စိန်	1
သူဌေး	1
ကြွ	1
အရပ်	1
အပင်	1
တေးသံ	1
နှင်း	1
စိုစို	1
အချမ်း	1
တောတောင်ရေမြေ	1
ခွင်	1
စိမ်းစိုလန်းဆန်း	1
မြူ	1
ဆိုင်း	1
ခဝဲ	1
တပေါင်း	1
သဇင်ပန်း	1
ခွာညိုပန်း	1
ပေါက်	1
နှင်းမှုန်မှုန်	1
အဝတ်ထူထူ	1
အနွေးထည်	1
ခေါင်းစွပ်	1
လည်စည်းပဝါ	1
ဆောင်းဥတု	1
ထီး	1
အဝတ်အစား	1
ပူအိုက်	1
ရွက်ဟောင်း	1
ဝေ	1
သဲသောင်	1
သရဖီပန်း	1
ပိတောက်ပန်း	1
စံကားဝါပန်း	1
ကံ့ကော်ပန်း	1
စံပယ်ပန်း	1
ပေါ့ပေါ့ပါးပါး	1
ထူ	1
ခို	1
အေးအေးလူလူ	1
ပင်ပန်း	1
ဖွေးဖွေး	1
မိုးခို	1
မြတ်လေးပန်း	1
ခတ္တာပန်း	1
ရင်းမာပန်း	1
ဤ	1
ရွက်ဟောင်းကြွေ	1
အခြေအနေ	1
စပါး	1
ခြေ	1
ကြက်တောင်စည်း	1
ခြေထောက်	1
အနောက်	1
သန်	1
ထင်းခွေ	1
နောက်ပြောင်	1
