Word	Count
။	693
ကို	298
၊	236
သည်	216
ပါ	207
များ	192
ကြ	185
က	145
တို့	126
ရ	104
တွေ	95
တယ်	93
မှာ	90
ပြော	80
တွင်	78
တာ	75
သော	72
တဲ့	66
ရှိ	65
လဲ	65
မ	64
မယ်	61
ဆို	60
သွား	59
ကလေး	59
ပြီး	58
၏	58
နေ	58
အောင်	57
တော့	54
""""	52
တစ်	49
နဲ့	49
ဖြစ်	48
ထား	48
ခဲ့	47
သနည်း	45
သလဲ	43
နှင့်	41
(	37
)	37
လာ	37
လို့	37
လိုက်	35
ရေး	34
ထဲ	32
အောက်ပါ	31
နိုင်	31
ကြည့်	30
သူငယ်ချင်း	30
တိရစ္ဆာန်	30
ဖြင့်	29
၍	29
ပေး	27
သင်	27
ငါ	27
၂	26
၁	26
သတဲ့	26
နေရာ	26
ပြ	25
ပုံပြင်	25
ဘာ	25
စား	25
၃	24
မင်း	24
၄	24
၅	24
-	23
ဘယ်လို	23
နွား	23
ကြီး	23
နိုင်ငံတော်	23
လည်း	22
ရွှေဝါ	21
လေ	21
စကားလုံး	21
ကျား	21
သူ	21
လေး	21
အသုံးပြု	20
အလံ	20
မည်သည့်	19
သူ့	19
ကျွန်တော်	19
ရဲ့	19
မှ	18
ကျီး	18
ပဲ	18
ကာ	18
ကောင်း	18
တတ်	17
တွေ့	17
ပေါ်	17
ဒေါင်း	17
ပေါ့	17
ဟု	17
ရေ	17
ယုန်	17
လား	16
၆	16
လေ့ကျင့်	16
မောင်ပို	16
အဘယ်ကြောင့်	16
သိ	16
သို့	16
ဟာ	16
ရှာ	15
ဖော်ပြ	15
ရောက်	15
ကျောင်း	15
ရွာ	15
အ	15
ဘူး	15
ယာဉ်	15
ဒီ	15
ကိုယ်	15
ချင်	15
ဖြေ	14
ဥယျာဉ်	14
ကောင်	14
ပြန်	14
ရင်	14
ပြီ	13
ရာ	13
ငါ့	13
ရင်း	13
ထို	13
အကြောင်းအရာ	13
လူ	13
လိပ်	13
သခင်	13
အရုပ်	13
နိုင်ငံ	13
သင်္ကြန်	12
အမည်	12
ခြင်း	12
သာဓက	12
ပေ	12
သုံး	12
သည့်	12
အဓိပ္ပာယ်	12
လုပ်	12
ဖတ်	12
အစာ	12
ငညို	11
ပါဝင်	11
မေးခွန်း	11
ဆီ	11
ကွာ	11
မျောက်	11
ဦးကြီး	11
လို	11
စာအုပ်	11
ကျွန်ုပ်	11
နော်	11
နေ့	11
အတွက်	11
မြန်မာ	11
ပြုလုပ်	10
ဝါကျ	10
ဦး	10
မည်သို့	10
...	10
ကစား	10
သေး	10
ဘာကြောင့်	10
ရန်	10
ကာရယ်	10
ဆုံး	10
အခါ	10
အကြောင်း	9
ဖွဲ့	9
မြန်မာ့	9
ဘယ်သူ	9
ဖို့	9
မျိုး	9
စဉ်းစား	9
သင့်	9
တစ်နေ့	9
အဲဒီ	9
အလွန်	9
ဖတ်စာ	9
စာလုံးပေါင်း	9
သတ်ပုံ	9
ညီနောင်	9
အလေးပြု	9
အားလုံး	9
ရိုးရာ	9
စိုက်ပျိုး	9
သမီး	9
အသင်း	9
ကျွေး	8
ကြိုးစား	8
လ	8
မေမေ	8
ကောင်းမြတ်	8
၇	8
စကား	8
သာ	8
ခေါ်	8
လေ့	8
အစိမ်းရောင်	8
နှစ်သက်	8
မင်းမင်း	8
ညီပုလေး	8
ဖော်ညွှန်း	8
၌	8
ခရီး	8
လှ	8
ဆွဲ	8
မြဲ	8
ပို	8
ကစားစရာ	8
စေ	8
ခိုးသူ	8
ကျေး	8
ပွင့်	8
ကိုယ့်	7
ဘုရင်ကြီး	7
လယ်သမား	7
စာ	7
ယောက်	7
မွေးမြူ	7
မြတ်	7
ထောင်ချောက်	7
တခြား	7
လျှင်	7
အခန်း	7
ဖေဖေ	7
စာဖတ်ခန်း	7
မြင်	7
ယူ	7
ဥတု	6
သင်ခန်းစာ	6
စရာ	6
ရသေ့	6
လယ်ယာ	6
ကျေးဇူးရှင်	6
အပြင်	6
အကြီး	6
ဗဟုသုတ	6
ဆုံးဖြတ်	6
တည်ဆောက်	6
အထိ	6
သစ်ပင်	6
ပေးစာ	6
ဖူး	6
ထို့ကြောင့်	6
ရွေ့လျား	6
ဝင်	6
ကွယ်	6
ပျော်ပျော်ရွှင်ရွှင်	6
ဒါကြောင့်	6
ကွဲပြားခြားနား	6
နောက်	6
သလား	6
ဟူသော	6
ယပင့်	6
ငါး	6
ရရစ်	6
လျက်	6
လုံး	6
သဖြင့်	6
ဆရာမ	6
ကာလ	6
ခု	6
ဝါသနာ	5
ဗိုက်ဆာ	5
မိ	5
မျက်နှာ	5
မွေး	5
ကြောင်	5
အနီရောင်	5
ရက်	5
စသည့်	5
နည်း	5
တောင်သူ	5
မှတ်စု	5
ချင်း	5
တက်	5
မိတ်ဆွေ	5
ပျံသန်း	5
ခိုင်း	5
ဝတ်	5
စီ	5
သိပ်	5
ရော	5
ကျ	5
ငှက်	5
စ	5
စကားပုံ	5
အချင်းချင်း	5
အဝါရောင်	5
ဟုတ်	5
ကျေးငှက်	5
ရာသီ	5
ပွဲ	5
တုန်း	5
ထွက်	5
အိမ်	5
မှတ်	5
အလိုက်	5
ပြု	5
နှစ်	5
သောအခါ	5
အတူတူ	5
ရေသဘင်ပွဲ	5
တစ်ခါ	5
ပုံသဏ္ဌာန်	5
ဒါ	5
ရပ်	5
အချိန်	5
ဘဲ	5
သား	5
ကျွန်တော့်	4
ညီ	4
ရန်လို	4
စိမ်းလန်း	4
အရိပ်	4
ဘာဖြစ်လို့	4
အမျိုးမျိုး	4
သူ့ထက်ကဲ	4
ပညာ	4
ပျော်	4
ဘယ်သူ့	4
အကြိုက်ဆုံး	4
ရွေး	4
ခေါင်းစဉ်	4
ဟစ်အော်	4
ရွှေပြည်စိုး	4
လုပ်ငန်း	4
လှည့်လည်	4
အစ်ကိုကြီး	4
လှပ	4
အေးမြ	4
ပန်းချီ	4
ဟော	4
ပန်းတိုင်	4
စိတ်	4
လည်းကောင်း	4
တသတ်	4
မည်	4
ပွဲတော်	4
ဒေါက်တို	4
ကျေးဇူး	4
ဘယ်	4
သဘာဝ	4
ယောင်ဆောင်	4
ရှေ့	4
သင်္ဘော	4
သံဆန်ခါ	4
ဟုတ်လား	4
ကျောင်းသား	4
ဈေး	4
ကိုယ်တိုင်	4
ကဗျာ	4
ပါး	4
ဆောင်ရွက်	4
ပြန်လှန်	4
ပင်	4
အင်းအိုင်	4
စားကျက်	4
စာပိုဒ်	4
ပိုဒ်	4
ဆင်နွှဲ	4
