Title	Text	Grade	Level
ကျောင်းသုံးစာအုပ်မိတ်ဆက်	ဤ အတန်း တွင် မြန်မာ စာ ဘာသာရပ် အကြောင်း နှင့် ယင်း ဘာသာရပ် ကို လက်တွေ့ ဘဝ တွင် အသုံးချ ပုံ များ ကို ပိုမို နားလည် နိုင် စေ မည့် အသိပညာ ၊ ကျွမ်းကျင် မှု အသစ် များ ဖွံ့ဖြိုး လာ ရန် ဆရာ ၏ လမ်းညွှန်ချက် ဖြင့် အတန်းဖော် များ နှင့် အတူ အဖွဲ့ လိုက် လုပ်ငန်း များ လုပ်ဆောင် သင်ယူ မည် ။ ထို့ပြင် ပြဿနာ အခက်အခဲ များ ကို ဖြေရှင်း တတ် ရန် နှင့် စဉ်းစား တွေးခေါ် ဖန်တီး တတ် ရန် လေ့လာ သင်ယူ မည် ။ အချို့ စာသင် ချိန် များ တွင် အဖွဲ့ လိုက် လုပ်ဆောင် ကြ ပြီး အချို့ စာသင် ချိန် များ တွင် အတန်း လိုက် သို့မဟုတ် တစ် ဦး ချင်း လေ့လာ သင်ယူ ကြ မည် ဖြစ် သည် ။	G7	Lower Secondary
သင်ယူရမည့်အကြောင်းအရာ	ဤ သတ္တမတန်း မြန်မာ စာ ဘာသာရပ် ကျောင်း သုံး စာအုပ် တွင် အောက်ပါ အဓိက အကြောင်းအရာ များ ပါဝင် သည် ။ အပိုင်း - ၁ ကဗျာ ၊ စကားပြေ ၊ အသုံးချ ဘာသာစကား စဉ် အမျိုးအစား ၁ ။ ကဗျာ ၂ ။ စကားပြေ ( ၁ ) သုတ ရသ စကားပြေ ( ၂ ) ဝတ္ထု ( ၃ ) ပြဇာတ် ( ၄ ) ရသ စာတမ်း ၃ ။ အသုံးချ ဘာသာစကား ( တိုင်းရင်းသား စကားပုံ ) အပိုင်း - ၂ မြန်မာ သဒ္ဒါ စဉ် အမျိုးအစား ၁ ။ အထူးပြု အစု ( ၁ ) နာမ် အထူးပြု ( ၂ ) ကြိယာ အထူးပြု ၂ ။ ဝါကျရိုး	G7	Lower Secondary
သင်ယူကြရမည့်နည်းလမ်းများ	သင်ခန်းစာ အားလုံး တွင် တက်ကြွ စွာ ပါဝင် သင်ယူ နိုင် ရန် အထောက်အကူပြု မည့် အရေးပါသော ၂၁ ရာစု ကျွမ်းကျင် မှု များ အဖြစ် ဆရာ က အသုံးပြု သင်ကြား ပေး မည် ။	G7	Lower Secondary
သင်ယူကြရမည့်နည်းလမ်းများ	ပူးပေါင်း ဆောင်ရွက် ခြင်း - သင်ခန်းစာ များ သင်ယူ ရာ တွင် ကျောင်းသား များ သည် အတန်းဖော် များ နှင့် အုပ်စု ဖွဲ့ ပြီး အတွေးအခေါ် များ မျှဝေ ခြင်း ၊ အဖြေ များ အတူ ရှာဖွေ ခြင်း တို့ ကို လုပ်ဆောင် မည် ။	G7	Lower Secondary
သင်ယူကြရမည့်နည်းလမ်းများ	ဆက်သွယ် ပြောဆို ခြင်း - ဘာသာစကား သင်ခန်းစာ များ တွင် သာမက ဘာသာရပ် အားလုံး တွင် သင်ခန်းစာ များ ကို ရေး ခြင်း ၊ ဖတ် ခြင်း ၊ ပြော ခြင်း ၊ နားထောင် ခြင်း နှင့် နှုတ် ဖြင့် ဆက်သွယ် ပြောဆို ခြင်း ၊ ကိုယ် အမူအရာ ဖြင့် ဆက်သွယ် ပြောဆို ခြင်း စသည့် ကျွမ်းကျင် မှု များ ဖွံ့ဖြိုး လာ မည် ။	G7	Lower Secondary
သင်ယူကြရမည့်နည်းလမ်းများ	လေးနက် စွာ ဆန်းစစ် ဝေဖန် ခြင်း နှင့် ပြဿနာ ဖြေရှင်း ခြင်း - ဖြေရှင်း ရန် စိတ်ဝင်စား ဖွယ် ပြဿနာ များ ၏ အဖြေ များ ကို ရှာဖွေ ခြင်း နှင့် တင်ပြ ခြင်း ၊ အမှား များ ကို ရှာဖွေ ခြင်း နှင့် ပြုပြင် ခြင်း တို့ ပြုလုပ် ရ လိမ့် မည် ။ တီထွင် ဖန်တီး ခြင်း - ဘောင်ခတ် ထား သည့် အခြေအနေ ထဲ မှ ထွက် ၍ တွေးခေါ် ခြင်း သည် အရေးပါသော ၂၁ ရာစု ကျွမ်းကျင် မှု တစ် ခု ဖြစ် သည် ။	G7	Lower Secondary
သင်ယူကြရမည့်နည်းလမ်းများ	အတွေးအခေါ် သစ် များ ရရှိ ရန် ၊ နည်းလမ်း သစ် များ ဖြင့် ပြဿနာ များ ဖြေရှင်း ရန် ကျောင်းသား များ ကို ပေး လိမ့် မည် ။	G7	Lower Secondary
သင်ယူကြရမည့်နည်းလမ်းများ	နိုင်ငံသားကောင်း ဖြစ် ခြင်း - နိုင်ငံသားကောင်း ဖြစ် ရန် ကျောင်း လူမှု အဖွဲ့အစည်း တွင် တက်ကြွ စွာ ပါဝင် လုပ်ဆောင် ခြင်း ၊ တရားမျှတ ခြင်း ၊ သဘောထား ကွဲလွဲ မှု ဖြေရှင်း ခြင်း စသည် တို့ ကို လေ့ကျင့် သင်ယူ ရ မည် ။	G7	Lower Secondary
စာသင်နှစ်အဆုံးတွင် သိရှိသွားပြီး လုပ်ဆောင်နိုင်မည့်ရလဒ်များ	သတ္တမတန်း ၊ မြန်မာ စာ ဘာသာရပ် ကျောင်း သုံး စာအုပ် ကို သင်ယူ ပြီး သောအခါ ကျောင်းသား များ သည် အောက်ပါ တို့ ကို လုပ်ဆောင် နိုင် မည် ။	G7	Lower Secondary
စာသင်နှစ်အဆုံးတွင် သိရှိသွားပြီး လုပ်ဆောင်နိုင်မည့်ရလဒ်များ	သဒ္ဒါ ကို သင်ကြား ခြင်း ဖြင့် အထူးပြု အစု တွင် ပါဝင် သော နာမ် အထူးပြု နှင့် ကြိယာ အထူးပြု တို့ အား ဝါကျ ၌ အသုံးပြု ပုံ ကို သိ လာ မည် ။ ကတ္တားပုဒ် + အဖြည့် ကတ္တား + ကြိယာပုဒ် ၊ ကတ္တားပုဒ် ကံ ပုဒ် + ကြိယာပုဒ် ၊ ကတ္တားပုဒ် + ကံ ပုဒ် + အဖြည့် ကံ + ကြိယာပုဒ် ပါဝင် သော ဝါကျ များ ကို တည်ဆောက် တတ် လာ မည် ။ မြန်မာ့ လူမှု ဆက်သွယ် ရေး တွင် သဒ္ဒါ ၏ အရေးပါပုံ ကို သိရှိ ၍ မှန်မှန်ကန်ကန် ပြော တတ် ရေး တတ် လာ မည် ။	G7	Lower Secondary
စာသင်နှစ်အဆုံးတွင် သိရှိသွားပြီး လုပ်ဆောင်နိုင်မည့်ရလဒ်များ	မိမိ တို့ သိရှိ လို သော ဝေါဟာရ များ ၏ အနက် အဓိပ္ပာယ် တို့ ကို အဘိဓာန် တွင် ရှာဖွေ တတ် လာ မည် ။ အဘိဓာန် ကို အသုံးပြု တတ် လာ မည် ။	G7	Lower Secondary
