Title	Text	Grade	Level
မာတိကာ	﻿အပိုင်း - ၁	G8	Lower Secondary
မာတိကာ	ကဗျာ ၊ စကားပြေ ၊ အသုံးချ ဘာသာ စကား	G8	Lower Secondary
မာတိကာ	စဉ် အကြောင်းအရာ အမျိုးအစား စာမျက်နှာ	G8	Lower Secondary
မာတိကာ	၁ ။ လောကသာရ	G8	Lower Secondary
မာတိကာ	၂ ။ နှိုက်နှိုက်ချွတ်ချွတ် ဝတ္ထု ဆောင်းပါး ၅	G8	Lower Secondary
မာတိကာ	၃ ။ ပန်းပဲ မင်းကြီး အတ္ထုပ္ပတ္တိ ( သုတ ရသ စကားပြေ ) ၁၂	G8	Lower Secondary
မာတိကာ	၄ ။ ပန်းစံပယ် ဒွေးချိုး ၁၇	G8	Lower Secondary
မာတိကာ	၅ ။ နိဂြောဓ သမင်မင်း နိဂြောဓ ဇာတ် ၂ဝ	G8	Lower Secondary
မာတိကာ	၆ ။ မြန်မာ့ ထမင်းပွဲ သုတ စကားပြေ ၂၄	G8	Lower Secondary
မာတိကာ	၇ ။ တို့ရွာ အလိုက် လွမ်းချင်း ၂၈	G8	Lower Secondary
မာတိကာ	၈ ။ ပီတိ ဝတ္ထုတို ၃ ၁	G8	Lower Secondary
မာတိကာ	၉ ။ ဤ မြေဝသုန် လင်္ကာ ၃ ၆	G8	Lower Secondary
မာတိကာ	၁၀ ။ သနပ်ခါး ဆောင်းပါး ( သုတ စကားပြေ ) ၃၉	G8	Lower Secondary
မာတိကာ	၁၁ ။ သင်္ဂဇာ ဆရာတော် ၏ စကားပုံ စကားပုံ ( အသုံးချ ဘာသာစကား ) ၄၅	G8	Lower Secondary
မာတိကာ	၁၂ ။ ချောင်းကလေး လင်္ကာ ၄၈	G8	Lower Secondary
မာတိကာ	၁၃ ။ အေးငြိမ်းချမ်း ၏ ခရီးသွား မှတ်တမ်း ခရီးသွား မှတ်တမ်း ၅ ၁	G8	Lower Secondary
မာတိကာ	၁၄ ။ ချောတိုင်တက် ပွဲ ရသ စာတမ်း ၅ ၇	G8	Lower Secondary
မာတိကာ	၁၅ ။ အလှ လင်္ကာ ၆ ၂	G8	Lower Secondary
မာတိကာ	၁၆ ။ ငွေတာရီ အတ္ထုပ္ပတ္တိ ၆၆	G8	Lower Secondary
မာတိကာ	၁၇ ။ ပန်းခူးသမား သို့ လင်္ကာ ၇၀	G8	Lower Secondary
မာတိကာ	၁၈ ။ ဗိုလ်ချုပ်အောင်ဆန်း အိမ် သို့ လေ့လာ ရေး ဆောင်းပါး ၇ ၃	G8	Lower Secondary
၁။ ပျို့ (ကဗျာ)	အောက်ပါ ကဗျာ ကို ဆရာ က ရွတ်ဆို ပြ သည့် အခါ ကဗျာ ၏ ကာရန် နှင့် အသံ ကို သေချာ စွာ နားထောင် ပါ ။	G8	Lower Secondary
၁။ ပျို့ (ကဗျာ)	မိမိ ကိုယ်တိုင် အသံ နေ အသံ ထား ဖြင့် ရွတ်ဆို လေ့ကျင့် ပါ ။	G8	Lower Secondary
လောကသာရ	၁ ။ အသက် ရှည် စွာ ၊ အနာ မဲ့ ကြောင်း ကောင်း လှ စေ ချင် ပဲ့ပြင် နိစ္စ ၊ ကွပ် ဆုံးမ သား မိဘ ဆရာ ၊ စကား နာ ၍ ကျမ်းစာ သိမြင် ၊ တတ် အောင် သင် လော့ ပေါ်လွင် မ ပြု ၊ ကောင်း ရာ တု လျက် ကောင်းမှု မြတ်နိုး ၊ ကောင်း အောင် ကြိုး ၍ ကောင်းကျိုး ကိုယ် ၌ တည် စေ မင်း ။	G8	Lower Secondary
လောကသာရ	၂ ။ မိခင် ဖခင် ၊ ကျေးဇူးရှင် ကို ချစ်ခင် မြတ်နိုး ဂူပုထိုး သို့ ၊ ရှိခိုးဦးတင် ကြည်လင် မြတ် လေး ၊ သိမ်းမြန်း မွေး ၍ လုပ်ကျွေး ခယ ၊ ရို တုပ်ကွ လျက် ကြီး ထ သက် အို ၊ မျိုးဆွေ ကို လည်း ကြည်ညို ညွတ်တိမ်း ၊ ပိုက်ထုပ် သိမ်း ၍ မ ယိမ်း စင်းလျင်း ငြိမ်း စေ မင်း ။	G8	Lower Secondary
လောကသာရ	၃ ။ ထုံးတီး နည်းနာ ၊ အဖြာဖြာ ၌ ပညာရှာမှီး ၊ မကြီး သက်ရွယ် အငယ် သော် က ၊ ကြိုး လုံ့လ လျက် တုပ်ကွ ပုဆစ် ၊ ဆရာ စစ် ၌ ကြောက် ချစ် ရိုသေ ၊ လုပ်ကျွေး ထွေ ဖြင့် စာပေ တတ် ကြောင်း ၊ တချောင်းချောင်း လျှင် ခြိမ်းမောင်း သည်းခံ ၊ ဆရာ့ ထံ ၌ သင်အံ ကျက် လေ့ ၊ တစ်နေ့ တစ် ပါး မှတ်သား လေ လေ ၊ ဝမ်းထဲခွေ ၍ အထွေအထူး ၊ ဂုဏ် ကျေးဇူး ကို ဆည်းပူး သိမြင် ကြွယ် စေ မင်း ။ ၁၅ ရာစု ကန်တော်မင်းကျောင်း ဆရာတော်	G8	Lower Secondary
ခက်ဆစ်အဖွင့်	၁ ။ ကြိုး = ကြိုးစား သည် ။	G8	Lower Secondary
ခက်ဆစ်အဖွင့်	၂ ။ ကွပ် = ဆုံးမ ပဲ့ပြင် သည် ။ လိမ္မာ အောင် လုပ် သည် ။	G8	Lower Secondary
ခက်ဆစ်အဖွင့်	၃ ။ ချောင်းချောင်း = အမြဲမပြတ် ၊ အရိပ်အခြည် ကြည့် ၍ ။	G8	Lower Secondary
ခက်ဆစ်အဖွင့်	၄ ။ ခြိမ်းမောင်း = ဆူပူ ကြိမ်းမောင်း သည် ။	G8	Lower Secondary
ခက်ဆစ်အဖွင့်	၅ ။ ဂူ = လိုဏ်ခေါင်း ခံ ၍ အုတ်အင်္ဂတေ တို့ ဖြင့် တည်ဆောက် ထား သော ဘုရား ။	G8	Lower Secondary
ခက်ဆစ်အဖွင့်	၆ ။ စင်းလျင်း = အမြဲ မပြတ်မလပ် ။	G8	Lower Secondary
ခက်ဆစ်အဖွင့်	၇ ။ တုပ်ကွ = ရိုသေ လေးစား သည် ။ ညွတ်တွား ခယ သည် ။	G8	Lower Secondary
ခက်ဆစ်အဖွင့်	၈ ။ ထုံးတီး = ရှေးထုံး ဟောင်း ။	G8	Lower Secondary
ခက်ဆစ်အဖွင့်	၉ ။ နိစ္စ = အမြဲ ။	G8	Lower Secondary
ခက်ဆစ်အဖွင့်	၁၀ ။ ပုထိုး = ဓာတ်တော်မွေတော် စသည် တို့ ကို ဌာပနာ ၍ အုတ်ကျောက် စသည် ဖြင့် တည် ထား သော မုခ်ပေါက် သို့မဟုတ် မုခ်ယောင် ပါ ရှိ သော စေတီ ။	G8	Lower Secondary
ခက်ဆစ်အဖွင့်	၁၁ ။ ပဲ့ပြင် = ဆုံးမ သည် ။ သွန်သင် သည် ။ ဖြောင့်မှန် ကောင်းမွန် အောင် လုပ် သည် ။	G8	Lower Secondary
ခက်ဆစ်အဖွင့်	၁၂ ။ ပေါ်လွင် = ပေါ့ပေါ့ဆဆ ၊ ပလွှား ဝင့်ဝါ သည် ။	G8	Lower Secondary
ခက်ဆစ်အဖွင့်	၁၃ ။ ဝမ်းထဲခွေ = စိတ် ထဲ ၌ မှတ်သား နှလုံးသွင်း သည် ။	G8	Lower Secondary
ခက်ဆစ်အဖွင့်	၁၄ ။ သိမ်းမြန်း = ထိန်းသိမ်း စောင့်ရှောက် သည် ။	G8	Lower Secondary
အဓိကအချက်များ	* စာပေ များ ကို တတ်မြောက် အောင် သင်ကြား ရ သည် ။ ပေါ့ပေါ့ဆဆ မ နေ ဘဲ ကောင်း သည့် အရာ များ ကို အတုယူ ရ သည် ။ ကောင်း သော အမှု ကိစ္စ များ ကို မြတ်နိုး တတ် ၍ ကောင်း အောင် ကြိုးစား ဆောင်ရွက် ခြင်း ဖြင့် မိမိ ၌ ကောင်းကျိုး အစဉ် တည်မြဲ နေ စေ ရ သည် ။	G8	Lower Secondary
အဓိကအချက်များ	* ကျေးဇူးရှင် မိဘ နှစ် ပါး ကို ရိုသေ စွာ လုပ်ကျွေး ရ မည် ။ သက်ကြီးဝါကြီး အမျိုးအဆွေ များ ကို လည်း အမြဲမပြတ် ကြည့်ရှု စောင့်ရှောက် လျက် နှလုံးစိတ်ဝမ်း ငြိမ်းချမ်း စေ သည် ။	G8	Lower Secondary
အဓိကအချက်များ	* ငယ်စဉ် ကတည်းက ဆရာ့ ထံ ၌ ပညာ ကို ကြိုးစား သင်ယူ ရ သည် ။ ရရှိ လာ မည့် ပညာ ၏ ဂုဏ် ကျေးဇူး နှင့် ဆရာ့ ကျေးဇူး တို့ ကို အထူး သိမြင် ဆင်ခြင် လျက် မိမိ တွင် ပညာ ဗဟုသုတ များ ကြွယ်ဝ လာ အောင် ကြိုးစား ရ သည် ။	G8	Lower Secondary
လေ့ကျင့်ခန်း	၁ ။ ပေး ထား သော စကားလုံး များ ၏ ဆီလျော် သော အနက် အဓိပ္ပာယ် ကို အဘိဓာန် တွင် ရှာ ၍ ဖော်ပြ ပါ ။	G8	Lower Secondary
လေ့ကျင့်ခန်း	ဂုဏ် ၊ နည်းနာ ၊ ဦးတင် ၊ တု ၊ သဲ ၊ ခယ	G8	Lower Secondary
လေ့ကျင့်ခန်း	အောက်ပါ စကားလုံး များ ဖြင့် ဝါကျဖွဲ့ ပါ ။	G8	Lower Secondary
လေ့ကျင့်ခန်း	ကောင်းမှု ၊ ရှိခိုး ၊ ရိုသေ ၊ ဆည်းပူး ၊ သည်းခံ	G8	Lower Secondary
လေ့ကျင့်ခန်း	၃ ။ အောက်ပါ ကဗျာ စာသား ကို သင် နားလည် သည့် အတိုင်း ရှင်းပြ ပါ ။	G8	Lower Secondary
လေ့ကျင့်ခန်း	ပေါ်လွင် မ ပြု ကောင်း ရာ တု လျက် ကောင်းမှု မြတ်နိုး ကောင်း အောင် ကြိုး ၍ ကောင်းကျိုး ကိုယ် ၌ တည် စေ မင်း ၊	G8	Lower Secondary
လေ့ကျင့်ခန်း	၄ ။ ပေး ထား သော ကဗျာ တွင် ဖွဲ့ဆို ထား သည့် ကာရန် စနစ် ကို ဖော်ပြ ပါ ။	G8	Lower Secondary
လေ့ကျင့်ခန်း	တစ် ယောက် စကား တစ် ယောက် နား မှာ မ ခါး ရ အောင် သတိ ဆောင် ၍ မောင် တို့ ဆို လေ ပျားသကာ သို့ ချို လှ စေ ။	G8	Lower Secondary
လေ့ကျင့်ခန်း	၅ ။ သင့် ပတ်ဝန်းကျင် တွင် အမိအဖ နှင့် သက်ကြီးဝါကြီး ဆွေမျိုး များ အား ကြည့်ရှု စောင့်ရှောက် ပေး သူ များ ကို မြင် တွေ့ ဖူး ပါ သလား ။ သင် ကိုယ်တိုင် ထို ကဲ့သို့ ဆောင်ရွက် လို စိတ် ရှိ ပါ သလား ။ အဘယ် ကြောင့် နည်း ။	G8	Lower Secondary
လေ့ကျင့်ခန်း	၆ ။ လောကသာရ ပျို့ တွင် ပါဝင် သော ဆုံးမ ချက် များ အရ ရှေးခေတ် မြန်မာ့ လူမှု အဖွဲ့အစည်း ၏ နှစ်လိုဖွယ် မည် သည့် ကျင့်ဝတ် များ ကို သိရှိ ရ သနည်း ၊	G8	Lower Secondary
လေ့ကျင့်ခန်း	၇ ။ ရှေးခေတ် နှင့် မျက်မှောက်ခေတ် ပညာ သင်ကြား သင်ယူ ပုံ တွင် ကွာခြား ချက် များ ရှိ ပါ သလား ။	G8	Lower Secondary
လေ့ကျင့်ခန်း	သင် မည် သို့ နားလည် ပါ သနည်း ၊ ကွာခြား ချက် များ ကို ဆွေးနွေး ပါ ။	G8	Lower Secondary
၂။ (ဝတ္ထုဆောင်းပါး)	အောက်ပါ ဝတ္ထု ဆောင်းပါး ကို ဖတ် ပြီး ခက်ဆစ် အဓိပ္ပာယ် များ ကို လေ့လာ ပါ ။ စာပိုဒ် များ ကို အုပ်စု လိုက် ဖတ် ပြီး ဆွေးနွေး ပါ ။	G8	Lower Secondary
နှိုက်နှိုက်ချွတ်ချွတ်	စကား ပြော တတ် ခါ စ ကလေး များ သည် အလွန် အမေးအမြန်း ထူ ၏ ။ နှိုက်နှိုက်ချွတ်ချွတ် လည်း မေးမြန်း တတ် ကြ ကုန် ၏ ။	G8	Lower Secondary
