Title	Text	Grade	Level
ပြည်ထောင်စု သမ္မတ မြန်မာ နိုင်ငံတော် အစိုးရ ပညာရေး ဝန်ကြီးဌာန	ကျောင်း သုံး စာအုပ်	G11	Upper Secondary
ပြည်ထောင်စု သမ္မတ မြန်မာ နိုင်ငံတော် အစိုးရ ပညာရေး ဝန်ကြီးဌာန	မြန်မာ စာ	G11	Upper Secondary
ပြည်ထောင်စု သမ္မတ မြန်မာ နိုင်ငံတော် အစိုးရ ပညာရေး ဝန်ကြီးဌာန	ဧကာဒသမ တန်း	G11	Upper Secondary
ဧကာဒသမ တန်း	ကဗျာ ၊ ဝတ္ထု ၊ ပြဇာတ် ၊ ရာ စာတမ်း သုည ဆောင်းပါး အသုံးချ ဘာသာစကား	G11	Upper Secondary
ပြည်ထောင်စု သမ္မတ မြန်မာ နိုင်ငံတော် အစိုးရ ပညာရေး ဝန်ကြီးဌာန	မြန်မာ စာ ဧကာဒသမ တန်း	G11	Upper Secondary
ဧကာဒသမ တန်း မြန်မာ စာ	ကျောင်း သုံး စာအုပ် မိတ်ဆက်	G11	Upper Secondary
ကျောင်း သုံး စာအုပ် မိတ်ဆက်	မြန်မာ စာ အခြေခံ ခိုင်မာ ပြီး ကျွမ်းကျင် စွာ တတ် မြောက် အသုံးပြု နိုင် ရန် ဦးတည် ချက် ထား ရှိ ပြီး အခြေခံ ပညာ အထက်တန်း မြန်မာ စာ သင်ရိုး ကို ပြင်ဆင် ရေးဆွဲ ခဲ့ ပါ သည် ။ ထို သို့ ရေးဆွဲ ရာ တွင် လက်တွေ့ ဘဝ ၌ ပိုမို အကျိုး ဖြစ်ထွန်း စေ မည့် ဘာသာစကား စွမ်းရည် လေး ရပ် ဖြစ် သည့် အပြော စွမ်းရည် ၊ အနာအကြား စွမ်းရည် ၊ အဖတ်အရွတ် စွမ်းရည် ၊ အရေးအသား စွမ်းရည် တိုးတက် လာ စေ ရေး ကို မဏ္ဍိုင် ပြု ၍ ရေးဆွဲ ထား ပါ သည် ။ ကျောင်း သုံး စာအုပ် ကို အသုံးပြု ရာ တွင် မြန်မာ စာ မြန်မာ ဘာသာစကား ဆိုင်ရာ အသိပညာ များ ၊ ကျွမ်းကျင် မှု များ ဖွံ့ဖြိုး လာ စေ ရန် အတွက် ဆရာ ၏ လမ်းညွှန် မှု ဖြင့် တစ် ဦး ချင်း လေ့ကျင့် ခြင်း ၊ အဖွဲ့ လိုက် လုပ်ငန်း များ လုပ်ဆောင် ခြင်း တို့ ဖြင့် သင်ယူ မည် ။ မြန်မာ စာ မြန်မာ ဘာသာစကား ကို လေ့လာ သင်ယူ ရာ တွင် ဖြစ် စေ ၊ လက်တွေ့ အသုံးချ ရာ တွင် ဖြစ် စေ ကြုံတွေ့ ရသည့် အခက်အခဲ များ ၊ ပြဿနာများ ကို လည်း ဖြေရှင်း တတ် စေ ရန် ၊ စဉ်းစား တွေး ခေါ် ဖန်တီး တတ် စေ ရန် လေ့ကျင့် သင်ယူ မည် ။ အချို့ စာသင် ချိန် များ တွင် တစ် ဦး ချင်း ဖြစ် စေ ၊ ဖွဲ့ လိုက် ဖြစ် စေ လက်တွေ့ လုပ်ဆောင် မှု များ ဖြင့် လေ့လာ သင်ယူ ကြ မည် ဖြစ်သည် ။	G11	Upper Secondary
သင်ယူ ရ မည့် အကြောင်းအရာ	ဤ ဧကာဒသမ တန်း မြန်မာ စာ ကျောင်း သုံး စာအုပ် တွင် အောက် ပါ အကြောင်းအရာ များ ပါ ဝင် သည် ။	G11	Upper Secondary
အပိုင်း - ၁	အပြော သင်ခန်းစာ	G11	Upper Secondary
အခန်း	၁ ။ စကားသံ ဖြစ် ပေါ် မှု နှင့် စကားသံ သဘောတရား	G11	Upper Secondary
အခန်း	၂ ။ အပြောအဆို ဆိုင်ရာ လမ်းညွှန် ချက်	G11	Upper Secondary
အခန်း	၃ ။ အပြော ပုံစံ အမျိုးမျိုး	G11	Upper Secondary
အပိုင်း - ၂	အဖတ်အရွတ် သင်ခန်းစာ	G11	Upper Secondary
အဖတ်အရွတ် သင်ခန်းစာ	၁ ။ မြန်မာ စကားပြေ ရွေးချယ် ချက်	G11	Upper Secondary
အဖတ်အရွတ် သင်ခန်းစာ	၂ ။ မြန်မာ ကဗျာ ရွေးချယ် ချက်	G11	Upper Secondary
အဖတ်အရွတ် သင်ခန်းစာ	၃ ။ မြန်မာ ပြဇာတ် ရွေးချယ် ချက်	G11	Upper Secondary
အပိုင်း - ၃	အရေး သင်ခန်းစာ	G11	Upper Secondary
အရေး သင်ခန်းစာ	၁ ။ စာ အရေးအသား အခြေခံ	G11	Upper Secondary
အရေး သင်ခန်းစာ	၂ ။ စာ ပုံစံ အမျိုးမျိုး	G11	Upper Secondary
အရေး သင်ခန်းစာ	၃ ။ စာ အရေးအသား အတတ်ပညာ	G11	Upper Secondary
သင်ယူ ကြ ရ မည့် နည်းလမ်း များ	သင်ခန်းစာ အားလုံး တွင် တက်ကြွ စွာ ပါ ဝင် သင်ယူ နိုင် ရန် အထောက်အကူပြု မည့် အရေး ပါ သော ၂၁ ရာစု ဘာသာစကား ဆိုင်ရာ ကျွမ်းကျင် မှု အဖြစ် ဆရာ က လက်တွေ့ သင်ကြား လေ့ကျင့် ပေး မည် ။	G11	Upper Secondary
လေ့လာ မှု နယ်ပယ် များ	အပြော သင်ခန်းစာ ကို သင်ယူ ရာ တွင် စကားသံ ဖြစ် အင်္ဂါ များ အကြောင်း နှင့် စကားသံ သဘောတရား များ ဖြစ် သည့် ဗျည်းသံ ၊ သရသံ ၊ သရသံ ဗျည်းသံ အတွဲ အစပ် ၊ တက်ကျသံ ၊ အသံ ထွက် စနစ် များ အကြောင်း စကား အပြောအဆို ဆိုင်ရာ တွင် စကား ပြော ကောင်း ခြင်း ၊ ယဉ်ကျေး ချေငံ ခြင်း ၊ စကား အရာ အင်္ဂါ လေး တန် နှင့် အညီ ပြော ဆို ခြင်း အကြောင်း ၊ စကား ပြော ပုံစံ ငါး မျိုး တွင် စကားစမြည် ပြော ခြင်း ၊ ဝိုင်းဖွဲ့ ဆွေးနွေး ခြင်း ၊ ကျပန်းစကားပြော ခြင်း ၊ စကားရည်လု ခြင်း ၊ ကျေးဇူးတင် စကား ပြော ခြင်း အကြောင်း တို့ ကို လက်တွေ့ ပြော ဆို လေ့ကျင့် သင်ယူ မည် ။	G11	Upper Secondary
လေ့လာ မှု နယ်ပယ် များ	အဖတ်အရွတ် သင်ခန်းစာ တွင် စကားပြေ ရွေးချယ် ချက် ကို လေ့လာ ရာ ၌ ရည်ရွယ် ချက် သို့မဟုတ် အာဘော် အကြောင်းအရာ ၊ အစီအစဉ် ၊ စာ ရေးနည်း လေး မျိုး ၊ သဒ္ဒါ လင်္ကာ ရ အတ္ထာ လင်္ကာ ရ ၊ ရသ နှင့် အသိအမြင် ဟူသော လေ့လာ မှု နယ်ပယ် ငါး ရပ် ကို လည်း ကောင်း ၊ ကဗျာ ရွေးချယ် ချက် ကို လေ့လာ ရာ ၌ ကဗျာ ရွတ်ဆို ခြင်း ၊ ကဗျာ နောက် ခံ ကို လေ့လာ ခြင်း ၊ ကဗျာ အရေး အဖွဲ့ ၊ သဒ္ဒါ လင်္ကာ ရ အတ္ထာ လင်္ကာ ရ ၊ ရသ နှင့် အသိအမြင် လေ့လာ ခြင်း ဟူသော လေ့လာ မှု နယ်ပယ် ငါး ရပ် ကို လည်း ကောင်း ပြဇာတ် ရွေးချယ် ချက် ကို လေ့လာ ရာ ၌ ရည်ရွယ် ချက် သို့မဟုတ် အာဘော် ၊ ပြဇာတ် နောက် ခံ ၊ ပြဇာတ် အင်္ဂါ ရပ် များ ၊ ဇာတ် စကား များ ၊ ရသ နှင့် အသိအမြင် ဟူသော လေ့လာ မှု နယ်ပယ် ငါး ရပ် ကို လည်း ကောင်း လေ့လာ မည် ။	G11	Upper Secondary
လေ့လာ မှု နယ်ပယ် များ	အရေး သင်ခန်းစာ တွင် မြန်မာ စာ အရေးအသား ၏ အခြေခံ ဖြစ် သည့် မြန်မာ စာ အရေးအသား စနစ် ၊ ပြောဟန် နှင့် ရေးဟန် ကွဲပြား ချက် ၊ သဒ္ဒါ အသုံး မှန်ကန် ခြင်း ၊ စာလုံးပေါင်း သတ်ပုံ မှန်ကန် ခြင်း ကို ဖော်ပြ ထား သည့် သဒ္ဒါ ဟူ သည် ၊ စာ ရေးသား နည်း ပုံစံ များ ဖြစ် သည့် အနှစ်ချုပ် ၊ စာစီစာကုံး ၊ အဆို ဆွေးနွေး ၊ ဆောင်းပါး ၊ စာ အရေးအသား အတတ်ပညာ များ ဖြစ် သည့် စာပိုဒ် ဖွဲ့ ခြင်း ၊ ဂုဏ် အလင်္ကာရသ ၊ မြန်မာ စာ ရေးသား ရာ တွင် သတိပြု ရှောင်ရှား သင့် သည့် အပြစ် များ ဟူ သည့် သင်ခန်းစာ တို့ ကို လက်တွေ့ ရေးသား လေ့ကျင့် သင်ယူ မည် ။	G11	Upper Secondary
