Title	Text	Grade	Level
အပိုင်း ( ၁ ) အပြော သင်ခန်းစာ	၁ ။ မြန်မာ စကား သံ နှင့် အနက် အဓိပ္ပာယ် ၂ ။ နေ ရာ ဒေသ ၊ အရပ် မျက်နှာ ကို အစွဲပြု သည့် ဓလေ့ သုံး စကား များ ၃ ။ ဗန်း စကား ပေါ်ပေါက် ပုံ များ ၄ ။ အသွင် ကွဲ မြန်မာ စကား များ ၅ ။ စကား သင်္ကေတ ရော သုံး မှု ၆ ။ ဥပစာ အပိုင်း ( ၂ ) အဖတ်အရွတ် သင်ခန်းစာ အခန်း ( ၁ ) မြန်မာ စကားပြေ ရွေးချယ် ချက် ၁ ။ ကျ စွာ မင်း နှင့် မိထွေး တော် ၂ ။ သစ္စာ ပညာ ဝီရိယ ၃ ။ ဘုရား ဖူး သွား ခြင်း ၄ ။ လူ့ အသည်း ၅ ။ အမှောင် ၆ ။ တိုင်းရင်းသား ပုံပြင် နှင့် စကား ပုံ များ ( က ) မိဘမဲ့ ပညာ ရှိ က လေး သမ္မတ ဖြစ် လာ ပုံ ( က ချင် ပုံပြင် ) ( ခ ) တိုင်းရင်းသား စကား ပုံ များ အခန်း ( ၂ ) မြန်မာ က ဗျာ ရွေးချယ် ချက် ၁ ။ ပညာ ရဲရင့် ပွဲလယ်တင့် ၂ ။ တံခွန်တိုင် သိ ကြား ထင့် ၃ ။ အရ သာ ကြီး ခြံ စပ် သီး ၄ ။ ပန်းပန် လျက် ပဲ ၅ ။ ဖိုး မောင် လာ ပြီ ၆ ။ ဝိညာဉ် ခြေ ရာ ၇ ။ အဘိုး သခင်ကိုယ်တော်မှိုင်း သို့ အခန်း ( ၃ ) မြန်မာ ပြဇာတ် ရွေးချယ် ချက် ၁ ။ အာဇာနည် မိခင် အပိုင်း ( ၃ ) အရေး သင်ခန်းစာ အရေး သင်ခန်းစာ ၁ ။ ပြော တဲ့ အခါ နဲ့ ရေး တဲ့ အခါ ၂ ။ နည်းလမ်း ငါး သွယ် ၃ ။ ခွန်အား ရှိ သော စာ ၄ ။ စာ ရေး နည်း နှစ် မျိုး ၅ ။ ရ သ ဖန်တီး သူ ရ သ နှင့် ရ သ ခံစား သူ ၆ ။ ရေး ဟန်	G12	Upper Secondary
ဒွါဒသ မ တန်း မြန်မာ စာ သင်ရိုး မိတ်ဆက်	ဒွါဒသ မ တန်း မြန်မာ စာ သင်ရိုးသစ် ဖြစ် လာ တဲ့ နောက် ခံ အကြောင်း ကို နည်းနည်း ပြော ပြ ချင် ပါ တယ် ။ ၂၀၂၃ ဇွန် လ က စ လို့ ကြား ကာလ ပညာ ရေး လုပ်ငန်း တစ် ခု အဖြစ် ဒွါဒသ မ တန်း မြန်မာ စာ သင်ရိုး ကို ပြင်ဆင် မွမ်းမံ ဖို့ ဖြစ် လာ ပါ တယ် ။ ၂၀၂၃ ခု နှစ် ဇွန် လ ၂ ၃ ရက် က စ လို့ အပတ်စဉ် သော ကြာ နေ့ တိုင်း မြန်မာ စာ ဘုတ် အဖွဲ့ အစည်းအဝေး ကို ပြုလုပ် ပြီး အတွေ့အကြုံ ရှိ ဆရာ ကြီး ၊ ဆရာ မ ကြီး များ ပါ ဝင် တဲ့ သင်ရိုး ပြုစု ရေး အဖွဲ့ ကို ဖွဲ့စည်း ခဲ့ ပါ တယ် ။ စွမ်းရည် အခြေပြု ပညာ ရေး စနစ် ( Competency based Education ) ဖြစ် ဖို့ ရည်မှန်း တဲ့ အတွက် ဒွါဒသ မ တန်း မြန်မာ စာ ဘာသာရပ် တတ် မြောက် မှု စွမ်းရည် ( Competency ) တွေ ကို ချမှတ် ခဲ့ ကြ ပါ တယ် ။ တတ် မြောက် မှု စွမ်းရည် တွေ ချ ပြီး ဒီ စွမ်းရည် တွေ ရောက် အောင် သင်ကြား မဲ့ သင်ခန်းစာ တွေ ရွေးချယ် ပြုစု ဖို့ တာဝန် တွေ အသီးသီး ခွဲဝေ ယူ ခဲ့ ကြ ပါ တယ် ။ ဆရာ ကြီး ၊ ဆရာ မ ကြီး တွေ က တာဝန် ကျ ရာ သင်ခန်းစာ တွေ နဲ့ လေ့ကျင့်ခန်း တွေ ကို ပြုစု ပြီး powerpoint presentation များ နဲ့ အပတ်စဉ် တင်ပြ ဆွေးနွေး ကြ ပါ တယ် ။ အထပ်ထပ် ဆွေးနွေး ပြင်ဆင် ပြီး ၂၀၂၃ နိုဝင်ဘာ ၁၄ ရက် မှာ ၁၀၀ % ပြင်ဆင် ထား တဲ့ ဒွါဒသ မ တန်း မြန်မာ စာ သင်ရိုးသစ် ကို ပြုစု နိုင် ခဲ့ ပါ တယ် ။	G12	Upper Secondary
ရည်ရွယ် ချက်	သင်ရိုး ပြုစု ရေး အဖွဲ့ ရဲ့ ငါး ကြိမ်မြောက် အစည်းအဝေး မှာ ဒွါဒသ မ တန်း မြန်မာ စာ သင်ရိုး ကို ၁၀၀ % ပြင်ဆင် ပြုစု ဖို့ ဆုံးဖြတ် ခဲ့ ပါ တယ် ။ ၁၀၀ % ပြင်ဆင် ရ တဲ့ ရည်ရွယ် ချက် ၃ ခု ရှိ ပါ တယ် ။ ပထမ ရည်ရွယ် ချက် က တိုင်းရင်းသား ဒေသ တွေ မှာ မြန်မာ စကား နဲ့ မြန်မာ စာ ကို အသုံးချ ဘာ သာ စကား တစ် ခု ၊ ကြား ခံ ဘာ သာ စကား တစ် ခု အဖြစ် ထိထိရောက်ရောက် လွယ်လွယ်ကူကူ သုံး နိုင် ဖို့ ပါ ။ ဒုတိယ ရည်ရွယ် ချက် က ဘာ သာ စကား ဆိုင်ရာ တတ် မြောက် မှု စွမ်းရည် ( အပြော စွမ်းရည် ၊ အရေး စွမ်းရည် ၊ အဖတ် စွမ်းရည် ၊ အကြား စွမ်းရည် ) ကို ပေါက် မြောက် အောင်မြင် စေ တဲ့ သင်ရိုး ဖြစ် ဖို့ ပါ ။ တတိယ ရည်ရွယ် ချက် က ဒွါဒသ မ တန်း အတွက် ချမှတ် ထား တဲ့ တတ် မြောက် မှု စွမ်းရည် တွေ ကို အပြည့်အဝ ပေး နိုင် မဲ့ စစ်ဆေး အကဲဖြတ် မှု ( Assessment ) တွေ ကို ဖြေ ကြည့် စေ ချင် လို့ ပါ ။ ဒွါဒသ မ တန်း မြန်မာ စာ သင်ရိုးသစ် က ဗမာ တိုင်းရင်းသား အပါအဝင် ပြည်နယ် နှင့် တိုင်း ဒေသ ကြီး အသီးသီး က တိုင်းရင်းသား အားလုံး အတွက် ရည်ရွယ် ပြုစု ထား ခြင်း ဖြစ် ပါ တယ် ။ တိုင်းရင်းသား ဆရာ ၊ ဆရာ မ များ နဲ့ ကျောင်းသား ၊ ကျောင်း သူ တွေ သင်ကြား လေ့လာ ရ ခက်ခဲ တဲ့ ရေ သည် ပြဇာတ် အစား နေ့စဉ် သုံး စကား နဲ့ ရေး ထား တဲ့ အာဇာနည် မိခင် ပြဇာတ် ကို အစားထိုး ခဲ့ ပါ တယ် ။ ဒီ နေ ရာ မှာ သင်ရိုး ပါ သင်ခန်းစာ တွေ နဲ့ လေ့ကျင့်ခန်း တွေ ဟာ နမူနာ သာ ဖြစ် ပါ တယ် ။ ဒွါဒသ မ တန်း အတွက် ချမှတ် ထား တဲ့ တတ် မြောက် မှု စွမ်းရည် တွေ သာ ရ နိုင် မယ် ဆို ရင် ဘယ် စာ အမျိုးအစား ကို မ ဆို ဆက်စပ် လေ့လာ သင်ကြား နိုင် ပါ တယ် ။ တိုင်းရင်းသား က လေး တွေ အတွက် ဒုတိယ ဘာ သာ စကား သင်ကြား နည်းစနစ် နဲ့ သင်ကြား နိုင် ပါ တယ် ။ ဆရာ ၊ ဆရာ မ တို့ အ နေ နှင့် မိမိ တို့ စိတ် တိုင်း ကျ လေ့ကျင့်ခန်း မေးခွန်း များ ကို ထုတ် ပြီး သင်ကြား ပေး လို့ လဲ ရ ပါ တယ် ။ BECA စာမေးပွဲ မှာ ဖတ် စာအုပ် ထဲ က လေ့ကျင့်ခန်း မေးခွန်း တွေ ပဲ မေး မှာ မ ဟုတ် လို့ တတ် မြောက် မှု စွမ်းရည် တွေ ရောက် အောင် ဆရာ ၊ ဆရာ မ တို့ က လွတ်လွတ်လပ်လပ် သင်ကြား ပေး ပါ ။ လေ့ကျင့်ခန်း များ များ ထည့် ပေး ခြင်း က ဆရာ တို့ ဆရာ မ တို့ သင်ကြား ပြသ မှု ကို ဘောင်ခတ် ခြင်း မ ဟုတ် ဘဲ ၊ နမူနာ အဖြစ် လေ့ကျင့် လို့ ရ အောင် ထည့် ပေး ခြင်း ပဲ ဖြစ် ပါ တယ် ။	G12	Upper Secondary
အပိုင်း ( ၁ ) အပြော သင်ခန်းစာ	သင်ခန်းစာ တတ်ကျွမ်း မှု စံသတ်မှတ်ချက် အပိုင်း ( ၁ ) အပြော သင်ခန်းစာ ( ၁ ) မြန်မာ ဘာ သာ စကား ကို ထိထိရောက်ရောက် မှန်မှန်ကန်ကန် ပြော ဆို နိုင် ခြင်း ( ၂ ) ဒြပ်မဲ့ ယဉ်ကျေး မှု အမွေအနှစ် ဖြစ် သော ဘာ သာ စကား နှင့် စာပေ ကို တန်ဖိုး ထား မြတ်နိုး ခြင်း	G12	Upper Secondary
အကြောင်းအရာ	၁ ။ မြန်မာ စကား သံ နှင့် အနက် အဓိပ္ပာယ်	G12	Upper Secondary
သင်ယူ မှု ရလဒ်	မြန်မာ စကား သံ အချို့ နှင့် အနက် အဓိပ္ပာယ် တို့ ဆက်သွယ် နေ ပုံ ကို သိ ရှိ ရန် ဗျည်းသံ တူ လျှင် အနက် အဓိပ္ပာယ် တူညီ နီးစပ် မှု လည်း ရှိ ပုံ ၊ အချို့ သော ဗျည်းသံ မျာ ကို ကာ ရန် တူ တ - ဗျည်း နှစ် လုံး ဆင့် တွဲ လျှင် အနက် အဓိပ္ပာယ် အတိုင်းအဆ ကို လျော့ပါး စေ သော သဘော ရှိ ပုံ ၊ သံ ညင်း ၊ သံ ပြင်း ကွဲပြား မှု နှင့် နှစ် သံတွဲ သုံး သံတွဲ နှင့် တက် ကျ သံ သည် လည်း အနက် အဓိပ္ပာယ် နှင့် ဆက်သွယ် မှု ရှိ ပုံ တို့ ကို သိ ရှိ ပြီး လူ မှု ဆက်ဆံ ရေး နယ်ပယ် တွင် လက်တွေ့ အသုံးချ နိုင် ရန် ။	G12	Upper Secondary
ပူးပေါင်း ဆောင်ရွက် မှု နည်း ( Collaborative learning Method )	ဆရာ က ကျောင်းသား များ ကို မြန်မာ စကား သံ အချို့ ၏ အနက် ကို မေးခွန်း မေး ရန် ကျောင်းသား များ က အချင်းချင်း ပူးပေါင်း ရှာဖွေ အဖြေ ထုတ် ရန် နှစ် ယောက် တစ် တွဲ အပြန်အလှန် ပြော ဆို နည်း ၊ ( Dyadic Exchange Method ) မြန်မာ စကား သံ အချို့ နှင့် အနက် အဓိပ္ပာယ် တို့ ဆက်သွယ် နေ ပုံ ကို ကျောင်းသား နှစ် ယောက် စီ အပြန်အလှန် ဆွေးနွေး ပြော ဆို ရန်	G12	Upper Secondary
အကြောင်းအရာ	၂ ။ နေ ရာ ဒေသ ၊ အရပ် မျက်နှာ ကို အစွဲပြု သည့် ဓလေ့ သုံး စကား များ ၃ ။ ဗန်း စကား ပေါ်ပေါက် ပုံ များ ၄ ။ အသွင် ကွဲ မြန်မာ စကား များ	G12	Upper Secondary
သင်ယူ မှု ရလဒ်	မြန်မာ ဓလေ့ သုံး စကား ကို လေ့လာ ခြင်း အား ဖြင့် သုံးစွဲ ရ ခြင်း ၏ နောက် ကွယ် တွင် ပြော ဆို သုံးစွဲ သော လူမျိုး ၏ လူ မှု လူ့ ကိစ္စ လုပ်ငန်း ဆောင် တာ တည်းဟူသော ဓလေ့ သဘော များ ကို ပါ သိ ရှိ ပြီး လူ မှု ဆက်ဆံ ရေး အဆင်ပြေ ချောမွေ့ လာ နိုင် ရန် ဗန်း စကား သည် လူ ပုဂ္ဂိုလ် တစ် ဦး တစ် ယောက် ၏ ကြံစည် တီထွင် ခြင်း လည်း မ ဟုတ် ဘဲ လူ ပေါင်း များ စွာ တို့ က နည်း မျိုးစုံ တင် စား သုံးနှုန်း ခြင်း ကို သိ ရှိ ပြီး လူ မှု ရေး နယ်ပယ် တွင် လက်တွေ့ အသုံးချ ပြော ဆို နိုင် ရန် ဗန်း စကား ၏ သဘောသဘာဝ နှင့် တင် စား သုံးနှုန်း ခြင်း ကို သိ ရှိ ပြီး လူ မှု ရေး နယ်ပယ် တွင် လက်တွေ့ အသုံးချ ပြော ဆို နိုင် ရန် ။ အသွင် ကွဲ မြန်မာ စကားလုံး အားလုံး တန်းတူရည်တူ ဖြစ် သည် ဟူသော အချက် ကို မူ အလေးအနက် ဂရုပြု မိ နိုင် စေ ရန် ။	G12	Upper Secondary
ပူးပေါင်း ဆောင်ရွက် မှု နည်း ( Collaborative learning Method )	အတူတကွ ပူးပေါင်း ဆောင်ရွက် ခြင်း ဖြင့် အဖွဲ့ ဝင် အားလုံး အပြော စွမ်းရည် ကျွမ်းကျင် လာ သည့် အပြင် ကျန် အဖွဲ့ များ ၏ အား နည်း ချက် ၊ အား သာ ချက် များ ကို သုံးသပ် တင်ပြ နိုင် ရန်	G12	Upper Secondary
