Title	Text	Grade	Level
ဧကာဒသမ တန်း စိတ်ကြိုက် မြန်မာ စာ မြန်မာ ကဗျာ ကျောင်း သုံး စာအုပ် မိတ်ဆက်	﻿မြန်မာ စာ အခြေခံ ခိုင်မာ ပြီး ကျွမ်းကျင် တတ်မြောက် စွာ အသုံးပြု နိုင် ရန် ဦးတည် ချက် ထား ရှိ ပြီး အခြေခံ ပညာ အထက်တန်း မြန်မာ စာ သင်ရိုး ကို ပြင်ဆင် ရေးဆွဲ ခဲ့ ပါ သည် ။ ထို သို့ ရေးဆွဲ ရာတွင် ကျောင်းသား အားလုံး လေ့လာ သင်ယူ ရ မည့် မြန်မာ စာ နှင့် မြန်မာ ကဗျာ ကို အထူး စိတ်ဝင်စား ပြီး နက်နက်ရှိုင်းရှိုင်း လေ့လာ လို သည့် ကျောင်းသား များ အတွက် စိတ်ကြိုက် မြန်မာ စာ ဟူ၍ နှစ် မျိုး ခွဲခြား ထား သည် ။ စိတ်ကြိုက် မြန်မာ စာ သင်ယူ မည့် ကျောင်းသား များ အတွက် လက်တွေ့ ဘဝ တွင် မြန်မာ စာ ကို အသုံးချ စာပေ အဖြစ် အသုံးပြု နိုင် မည့် အခြေခံ ကောင်း များ ရရှိ စေ ရန် ပြုစု ထား ပါ သည် ။	G11	Upper Secondary
ဧကာဒသမ တန်း စိတ်ကြိုက် မြန်မာ စာ မြန်မာ ကဗျာ ကျောင်း သုံး စာအုပ် မိတ်ဆက်	ဧကာဒသမ တန်း စိတ်ကြိုက် မြန်မာ ကဗျာ ကျောင်းသုံးစာအုပ် ကို အသုံးပြု ရာ တွင် မြန်မာ ကဗျာ ဖွဲ့ နည်း များ ကို ကောင်း စွာ သိရှိ ပြီး လက်တွေ့ အသုံးချ တတ် ရန် သင်ယူ မည် ။ မြန်မာ ကဗျာ ရွေးချယ် ချက် များ ကို လေ့လာ ရာ တွင် လည်း မြန်မာ ကဗျာ ၏ ရသ နှင့် အနှစ်သာရ ကို သိရှိ ခံစား တတ် လာ အောင် သင်ယူ မည် ။ ကဗျာ စပ်ဆိုမှု နှင့် မြန်မာ ကဗျာ ဆိုင်ရာ အသိပညာ များ ၊ ကျွမ်းကျင် မှု များ ဖွံ့ဖြိုး လာ စေ ရန် အတွက် ဆရာ ၏ လမ်းညွှန် မှု ဖြင့် တစ် ဦး ချင်း လေ့ကျင့် ခြင်း ၊ လုပ်ငန်း များ အဖွဲ့ လိုက် ပူးပေါင်း ဆောင်ရွက် လုပ်ဆောင် ခြင်း တို့ ဖြင့် သင်ယူ မည် ။ မြန်မာ ကဗျာ ဖွဲ့ နည်း နှင့် မြန်မာ ကဗျာ ကို လေ့လာ သင်ယူ ရာ တွင် ဖြစ်စေ ၊ လက်တွေ့ အသုံးချ ရာ တွင် ဖြစ်စေ ကြုံတွေ့ ရသည့် အခက်အခဲ များ ၊ ပြဿနာ များ ကို လည်း ဖြေရှင်း တတ် စေ ရန် ၊ စဉ်းစား တွေး ခေါ် တတ် စေ ရန် လေ့ကျင့် သင်ယူ မည် ။ အချို့ စာသင် ချိန် များ တွင် တစ် ဦး ချင်း ဖြစ်စေ ၊ အဖွဲ့ လိုက် ဖြစ်စေ အပြန်အလှန် ဆွေးနွေး ခြင်း ၊ အဖြေ ရှာ ခြင်း ၊ မေးမြန်း ခြင်း ၊ လေ့ကျင့် ခြင်း စသော လက်တွေ့ လုပ်ဆောင် မှု များ ဖြင့် လေ့လာ သင်ယူ ကြ မည် ဖြစ်သည် ။	G11	Upper Secondary
ဧကာဒသမ တန်း စိတ်ကြိုက် မြန်မာ စာ မြန်မာ ကဗျာ ကျောင်း သုံး စာအုပ် မိတ်ဆက်	ကဗျာ စာဆို တို့ သည် စာဖတ်သူ တို့ ၏ စိတ် တွင် မြင် လာ အောင် ၊ ကြား လာ အောင် ၊ ခံစား တတ် ၊ စာနာ တတ် လာ အောင် ၊ အားကျ အတုယူ ချင် စိတ် များ ကိန်းအောင်း လာ အောင် ဖန်တီး နိုင် ကြ သည် ။ စာဆို တို့ သည် မျက်စိလျှင် ကြ သည် ။ နားပါး ကြ သည် ။ အတွေး ကြွယ် ကြ သည် ။ အပြော တတ် ကြ သည် ။ သာမန် လူ တို့ မြင် သည် ထက် ၊ သာမန် လူ တို့ ကြား သည် ထက် ၊ သာမန် လူ တို့ တွေး သည် ထက် ၊ သာမန် လူ တို့ ပြော သည် ထက် မြင် တတ် ၊ ကြား တတ် ၊ တွေး တတ် ၊ ပြော တတ် ကြ သည် ။ သူ တို့ ဖွဲ့ဆို သော ကဗျာ တို့ ကို ဖတ် ရွတ် လေ့လာ ခြင်း ဖြင့် သူ တို့ ကဲ့သို့ ပင် မြင် တတ် ၊ ကြား တတ် ၊ တွေး တတ် ၊ ပြော တတ် နိုင် သော အစွမ်း ကို ရရှိ နိုင် သည် ။ ဤ သို့ ရရှိ အောင် လည်း အားထုတ် သင်ယူ သင့် သည် ။	G11	Upper Secondary
သင်ယူ ကြ ရ မည့် အကြောင်းအရာ	ဤ ဧကာဒသမ တန်း စိတ်ကြိုက် မြန်မာ စာ မြန်မာ ကဗျာ ကျောင်းသုံးစာအုပ် တွင် အပိုင်း နှစ် ပိုင်း ပါဝင် သည် ။ အပိုင်း - ၁ မြန်မာ ကဗျာ ဖွဲ့ နည်း အပိုင်း - ၂ မြန်မာ ကဗျာ ရွေးချယ် ချက်	G11	Upper Secondary
သင်ယူ ကြ ရ မည့် နည်းလမ်း များ	ကဗျာ သင်ခန်းစာ အားလုံး တွင် တက်ကြွ စွာ ပါဝင် သင်ယူ နိုင် ရန် အထောက်အကူပြု မည့် ၂၁ ရာစု တွင် အရေးပါ လာ သည့် ရသ ခံစား မှု နှင့် ဘာသာစကား ဆိုင်ရာ ကျွမ်းကျင် မှု များ ရရှိ လာ အောင် ဆရာ က လက်တွေ့ သင်ကြား လေ့ကျင့် ပေး မည် ။ ပထမ ပိုင်း ဖြစ် သည့် ကဗျာ ဖွဲ့ နည်း ကို လက်တွေ့ လေ့ကျင့် သင်ယူ မည် ။ ဒုတိယ ပိုင်း ကဗျာ ရွေးချယ် ချက် များ ကို လေ့လာ ရာ တွင် ကဗျာ ရွတ်ဆို ခြင်း ၊ ကဗျာ ဖွဲ့စပ် ပုံ ကို လေ့လာ ခြင်း ၊ နောက်ခံ ကို လေ့လာ ခြင်း ၊ စာဆို တို့ ၏ အတွေး နှင့် အရေး ကို လေ့လာ ခြင်း ၊ သဒ္ဒါလင်္ကာရ ၊ အတ္ထာလင်္ကာရ တို့ ကို ဖော်ထုတ် ခြင်း ၊ လေ့လာမှု နယ်ပယ် ငါး ရပ် ကို လက်တွေ့ အသုံးချ ၍ ဆောင်ရွက် ခြင်း ၊ ဆက်သွယ် ပြောဆို ခြင်း ၊ လေးနက် စွာ ဆန်းစစ် ဝေဖန် ခြင်း နှင့် ပြဿနာ ဖြေရှင်း ခြင်း ၊ တီထွင် ဖန်တီး ခြင်း ၊ နိုင်ငံသား ကောင်း ဖြစ် ခြင်း ဟူ သည့် နည်းလမ်း ငါး ရပ် ဖြင့် လေ့လာ သင်ယူ မည် ။	G11	Upper Secondary
လေ့လာမှု နယ်ပယ် ငါး ရပ်	( ၁ ) ကဗျာ ရွတ်ဖတ် ခြင်း - ကဗျာ ကို လေ့လာ ရာ တွင် ကဗျာ နှင့် ရင်းနှီး လာ စေ ရန် ကဗျာ ကို ရွတ်ဆို သင့် သည် ။ ( က ) တစ် ကြိမ် နှစ် ကြိမ် ဖတ် ရုံ မျှ ဖြင့် ကဗျာ ၏ ဆိုလိုချက် ကို အပြည့်အစုံ မ သိမြင် နိုင် ပါ ။ ထို့ကြောင့် ကဗျာ ကို အကြိမ်ကြိမ် ဖတ် ပါ ။	G11	Upper Secondary
လေ့လာမှု နယ်ပယ် ငါး ရပ်	( ခ ) အခွင့် သာ လျှင် ကဗျာ ကို အသံထွက် ၍ ရွတ်ဖတ် ပါ ။ အခွင့် မ သာ လျှင် မိမိ စိတ် က ကြား ရ လောက် အောင် နှုတ်ခမ်း လှုပ် ၍ ဖတ် ပါ ။ ကဗျာ တွင် စီကုံး ထား သော စကားလုံး တို့ ၏ အသံ သည် ကဗျာ ၏ အဓိပ္ပာယ် ကို ပိုမို ပေါ်လွင် စေ နိုင် သည် ။ နရီ စည်းချက် ရိုက် ပြီး ရွတ်ဆို ကြည့် ပါ ။ အသံနေအသံထား နှင့် ဌာန် ၊ ကရိုဏ်း ကျ အောင် ရွတ်ဖတ် ပါ ။ တေး ကဗျာ များ ကို ဂီတသံ ပေါက် အောင် ဆို ပြီး ဖတ် ပါ ။ ကဗျာ ၏ အရသာ ကို ပို၍ တွေ့ ပါ လိမ့် မည် ။	G11	Upper Secondary
လေ့လာမှု နယ်ပယ် ငါး ရပ်	( ဂ ) ကဗျာ တို့ တွင် ကာရန် အခံအအုပ် ၊ အချိတ်အဆက် တို့ ရှိ သည် ။ ပဒ ၊ အသံ အချီအချ ၊ အဖြတ်အတောက် ၊ အရပ်အနား တို့ ရှိ သည် ။ တြိချိုး ၊ လေးချိုး ၊ တျာချင်း ၊ လွမ်းချင်း စသော တေး ကဗျာ များ တွင် ' အချိုး ' အဖွဲ့ များ ပါ သည် ။ အချိုး ကဗျာ များ ၊ အချင်း ကဗျာ များ တွင် ခွာထောက် ကာရန် စပ် ပုံ ၊ ခြင်္သေ့လည်ပြန် ဖွဲ့စပ် ပုံ စသည့် စပ်နည်း များ လည်း ပါ သည် ။ ယင်း တို့ ကို ရှာဖွေ ပြီး ဖွဲ့စပ် ပုံ ကို လေ့လာ ပါ ။ ကာရန် နားလည် ၍ အဖြတ်အတောက် ၊ အရပ်အနား ကို သဘောပေါက် လျှင် ကဗျာ ကို ကောင်း စွာ သိမြင် လာ နိုင် မည် ဖြစ်သည် ။	G11	Upper Secondary
လေ့လာမှု နယ်ပယ် ငါး ရပ်	( ၂ ) ကဗျာ နောက်ခံ - ကဗျာ နောက်ခံ ကို လေ့လာ ရာ တွင် ရည်ရွယ် ချက် ၊ ကဗျာ ၏ အညွှန်းခံ ၊ ကာလဒေသ ဆိုလိုရင်း တို့ ကို လေ့လာ သင့် သည် ။ ( က ) ရည်ရွယ် ချက် - စာ တစ် ပုဒ် တွင် အသိပေး ရည်ရွယ် ချက် နှင့် စေတနာ နှိုး ရည်ရွယ် ချက် နှစ် မျိုး ရှိ သည် ။ ကဗျာ သည် ရသ စာပေ အမျိုးအစား ဖြစ် သည့် အလျောက် ကဗျာ ၏ အဓိက ရည်ရွယ် ချက် သည် စေတနာ နှိုးဆော် လို သော ရည်ရွယ် ချက် ဖြစ် ပါ သည် ။ ဆုံးမစာ ကဲ့သို့ သော အချို့ ကဗျာ များ တွင် မူ အသိပညာ ပေး လို သော သုတ ပေး ရည်ရွယ် ချက် မျိုး ကို တွေ့ နိုင် မည် ဖြစ် သော်လည်း အများအားဖြင့် စေတနာ နှိုး ရည်ရွယ် ချက် သာ အလေး ကဲ လေ့ ရှိ သည် ။ ကဗျာ ၏ ရည်ရွယ် ချက် ကို ဖော်ထုတ် ရာ တွင် မည်သည့် ရည်ရွယ် ချက် မျိုး ဖြစ်သည် ၊ စေတနာ နှိုးဆော် သော ရည်ရွယ် ချက် ဖြစ် လျှင် မည်သည့် စေတနာ ကို နှိုးဆော် လို သော ရည်ရွယ် ချက် ဖြစ်သည် ကို ဖော်ထုတ် နိုင် ပါ သည် ။	G11	Upper Secondary
လေ့လာမှု နယ်ပယ် ငါး ရပ်	( ခ ) အညွှန်းခံ - ကဗျာ တွင် ဇာတ်ကောင် တစ် ယောက် သော်လည်းကောင်း ၊ အများ သော်လည်းကောင်း ပါ ရှိ သည် ။ စာဆို သည် ဇာတ်ကောင် ကို ပြ ထား သည် လည်း ရှိ သည် ။ ဖျောက် ထား သည် လည်း ရှိ သည် ။ အညွှန်းခံ သည် သက်ရှိ ၊ သက်မဲ့ တစ်ခုခု ဖြစ် နိုင် သည် ။ တစ်ခါတစ်ရံ သဘာဝ ဝန်းကျင် ဖြစ် နိုင် သည် ။ တစ်ခါတစ်ရံ ကဗျာ ထဲ ရှိ ဇာတ်ကောင် ကို စာဖတ်သူ တို့ ကိုယ်တိုင် သတ်မှတ် ပေး ရသည့် အခါ လည်း ရှိ သည် ။ ထို အချက် ကို သိရှိ ပြီး ဖော်ထုတ် နိုင် ရ မည် ။	G11	Upper Secondary
