Title	Text	Grade	Level
အမျိုးသား ညီညွတ် ရေး အစိုးရ ပညာ ရေး ဝန်ကြီးဌာန	﻿သင်ရိုး မာတိကာ နှင့် တတ်ကျွမ်း မှု စွမ်းရည် စံသတ်မှတ်ချက် များ	G12	Upper Secondary
ဒွါဒသ မ တန်း	စိတ်ကြိုက် မြန်မာ စာ ဧပြီ လ ၊ ၂၀၂၄ ခုနှစ်	G12	Upper Secondary
ဒွါဒသ မ တန်း မြန်မာ စာပေ	မာတိကာ	G12	Upper Secondary
အပိုင်း ( ၁ ) ဝတ္ထုရှည်	ငဘ ၊ မောင်ထင်	G12	Upper Secondary
အပိုင်း ( ၂ ) ပြဇာတ်	ရေသည်ပြဇာတ်	G12	Upper Secondary
အပိုင်း ( ၃ ) ကဗျာ ဖွဲ့ နည်း နှင့် သီချင်း	၁ ။ သံပေါက်	G12	Upper Secondary
အပိုင်း ( ၃ ) ကဗျာ ဖွဲ့ နည်း နှင့် သီချင်း	၂ ။ သံချပ်	G12	Upper Secondary
အပိုင်း ( ၃ ) ကဗျာ ဖွဲ့ နည်း နှင့် သီချင်း	၃ ။ လေး လုံး စပ် လင်္ကာ	G12	Upper Secondary
အပိုင်း ( ၃ ) ကဗျာ ဖွဲ့ နည်း နှင့် သီချင်း	၄ ။ အချိုး ကဗျာ များ	G12	Upper Secondary
အပိုင်း ( ၃ ) ကဗျာ ဖွဲ့ နည်း နှင့် သီချင်း	၅ ။ မြနန္ဒာ သီချင်း	G12	Upper Secondary
အပိုင်း ( ၄ ) မြန်မာ စာပေ သမိုင်း	၁ ။ ပုဂံ ခေတ် မြန်မာ စာပေ	G12	Upper Secondary
အပိုင်း ( ၄ ) မြန်မာ စာပေ သမိုင်း	၂ ။ အင်းဝ ခေတ် မြန်မာ စာပေ	G12	Upper Secondary
အပိုင်း ( ၄ ) မြန်မာ စာပေ သမိုင်း	၃ ။ ကုန်းဘောင် ခေတ် မြန်မာ စာပေ	G12	Upper Secondary
ဒွါဒသ မ တန်း မြန်မာ စာ	တတ်ကျွမ်း မှု စွမ်းရည် စံသတ်မှတ်ချက် များ	G12	Upper Secondary
အသက် – ( ၁၇ + ) နှစ်	Competencies	G12	Upper Secondary
Competencies	Curriculum competencies Student sshouldbeableto :	G12	Upper Secondary
Curriculum competencies Student sshouldbeableto:	စာပေ သဘောတရား တို့ ကို သိ ရှိ နားလည် ပြီး ဝေဖန် သုံးသပ် တတ် မည် ။	G12	Upper Secondary
Curriculum competencies Student sshouldbeableto:	စာပေ ဖန်တီး မှု နည်းနာ တို့ ကို တတ်ကျွမ်း ပြီး ကိုယ်တိုင် ဖန်တီး ကို သိ ရှိ နားလည် ပြီး ဖန်တီး မှု နည်းနာ တတ် မည် ။	G12	Upper Secondary
Curriculum competencies Student sshouldbeableto:	မြန်မာ စာပေ သာမက တိုင်းရင်းသား စာပေ နှင် ကမ္ဘာ့ စာပေ တို့ ကို တန်ဖိုး ထား မြတ်နိုး တတ် မည် ။	G12	Upper Secondary
Cross - sectionalcompetencie s	စဉ်းစား တွေးခေါ် မှု စွမ်းရည် ကို ပြုစု ပျိုးထောင် နိုင် ခြင်း ။	G12	Upper Secondary
Cross - sectionalcompetencie s	မြန်မာ စာပေ ၏ သဘော သဘာဝ တို့ ကို အသုံးပြု ကာ လက်တွေ့ ဖန်တီး လာ နိုင် ခြင်း ။	G12	Upper Secondary
Cross - sectionalcompetencie s	စာ ရေးသား မှု ပုံစံ အမိုး မျိုး ကို သိ ရှိ ပြီး တန်ဖိုး ထား မြတ်နိုး တတ် ခြင်း ။	G12	Upper Secondary
သင်ယူ မှု ရလဒ် များ	စဉ် အပိုင်း သင်ခန်းစာ ခေါင်းစဉ် သင်ယူ မှု ရလဒ်	G12	Upper Secondary
သင်ယူ မှု ရလဒ် များ	၁ ။ အပိုင်း ( ၁ ) ဝတ္ထုရှည် ငဘ ၊ မောင်ထင် ဝတ္ထုရှည် သဘောတရား ကို သိ နားလည် စေ ရန် ။	G12	Upper Secondary
သင်ယူ မှု ရလဒ် များ	၁ ။ အပိုင်း ( ၁ ) ဝတ္ထုရှည် ငဘ ၊ မောင်ထင် ဝတ္ထုရှည် များ ကို ခံစား ပြီး ဝေဖန် သုံးသပ် တတ် စေ ရန် ။	G12	Upper Secondary
သင်ယူ မှု ရလဒ် များ	၂ ။ အပိုင်း ( ၂ ) ပြဇာတ် - ရေသည်ပြဇာတ် ၊ စလေဦးပုည ပြဇာတ် ဖန်တီး မှု နှင့် ပြဇာတ် သဘောသဘာဝ တို့ ကို သိ ရှိ စေ ရန် ။	G12	Upper Secondary
သင်ယူ မှု ရလဒ် များ	၃ ။ အပိုင်း ( ၃ ) ကဗျာ ဖွဲ့ နည်း နှင့် သီချင်း သံပေါက် ၊ သံချပ် ၊ လေး လုံး စပ် လင်္ကာ ၊ အချိုး ကဗျာ များ ကဗျာ ဖွဲ့ နည်း တို့ ကို တတ်ကျွမ်း ပြီး ကိုယ်တိုင် ဖန်တီး ဖွဲ့ဆို တတ် စေ ရန် ။	G12	Upper Secondary
သင်ယူ မှု ရလဒ် များ	၃ ။ အပိုင်း ( ၃ ) ကဗျာ ဖွဲ့ နည်း နှင့် သီချင်း မြနန္ဒာ သီချင်း ၊ ဆို - စိန် ပါတီ ရေး - နန်းတော် ရှေ့ ဆရာတင် ခေတ် ကို ထင်ဟပ် သည့် မြန်မာ သီချင်း များ ၏ အကြောင်းအရာ ရွေးချယ် မှု ၊ ဖန်တီး ဖွဲ့ဆို မှု သဘော ကို သိ ရှိ ခံစား ပြီး အကဲဖြတ် တတ် စေ ရန် ။	G12	Upper Secondary
သင်ယူ မှု ရလဒ် များ	၄ ။ အပိုင်း ( ၄ ) မြန်မာ စာပေ သမိုင်း ပုဂံ ခေတ် စာပေ အင်းဝ ခေတ် စာပေ ကုန်းဘောင် ခေတ် စာပေ ခေတ် အဆက်ဆက် ပေါ်ထွန်း ခဲ့ သော မြန်မာ စာပေ အသီးသီး ကို သိ ရှိ ပြီး အခြား စာပေ များ ကို လည်း လေးစား မြတ်နိုး တတ် စေ ရန် ။	G12	Upper Secondary
