Title	Text	Grade	Level
အမျိုးသား ညီညွတ် ရေး အစိုးရ ပညာ ရေး ဝန်ကြီးဌာန ကျောင်း သုံး စာအုပ် မြန်မာ စာ ဒွါဒသမ တန်း က ဗျာ ၊ သီချင်း ၊ ဝတ္ထု ၊ ပြဇာတ် ၊ သုတ ရ သ ဆောင်းပါး အသုံးချ ဘာ သာ စကား ဖေဖော်ဝါရီ လ ၊ ၂၀၂၄ ခု နှစ်	﻿အမျိုးသား ညီညွတ် ရေး အစိုးရ ပညာ ရေး ဝန်ကြီးဌာန ကျောင်း သုံး စာအုပ် မြန်မာ စာ ဒွါဒသမ တန်း ကဗျာ ၊ သီချင်း ၊ ဝတ္ထု ၊ ပြဇာတ် ၊ သုတ ရသ ဆောင်းပါး အသုံးချ ဘာသာစကား ဖေဖော်ဝါရီ လ ၊ ၂၀၂၄ ခု နှစ်	G12	Upper Secondary
မာတိကာ	အပိုင်း ( ၁ ) အပြော သင်ခန်းစာ ၁ ။ မြန်မာ စကား သံ နှင့် အနက် အဓိပ္ပာယ် ၂ ။ နေ ရာ ဒေသ ၊ အရပ် မျက်နှာ ကို အစွဲပြု သည့် ဓလေ့ သုံး စကား များ ၃ ။ ဗန်း စကား ပေါ်ပေါက် ပုံ များ ၄ ။ အသွင် ကွဲ မြန်မာ စကား များ ၅ ။ စကား သင်္ကေတ ရော သုံး မှု ၆ ။ ဥပစာ	G12	Upper Secondary
မာတိကာ	အပိုင်း ( ၂ ) အဖတ်အရွတ် သင်ခန်းစာ အခန်း ( ၁ ) မြန်မာ စကားပြေ ရွေးချယ် ချက် ၁ ။ ကျ စွာ မင်း နှင့် မိထွေး တော် ၂ ။ သစ္စာ ပညာ ဝီရိယ ၃ ။ ဘုရား ဖူး သွား ခြင်း ၄ ။ လူ့ အသည်း ၅ ။ အမှောင် ၆ ။ တိုင်းရင်းသား ပုံပြင် နှင့် စကားပုံ များ ( က ) မိဘမဲ့ ပညာ ရှိ က လေး သမ္မတ ဖြစ် လာ ပုံ ( ကချင် ပုံပြင် ) ( ခ ) တိုင်းရင်းသား စကားပုံ များ အခန်း ( ၂ ) မြန်မာ ကဗျာ ရွေးချယ် ချက် ၁ ။ ပညာ ရဲရင့် ပွဲလယ်တင့် ၂ ။ တံခွန်တိုင် သိကြား ထင့် ၃ ။ အရသာ ကြီး ခြံ စပ် သီး ၄ ။ ပန်းပန် လျက် ပဲ ၅ ။ ဖိုး မောင် လာ ပြီ ၆ ။ ဝိညာဉ် ခြေ ရာ ၇ ။ အဘိုး သခင်ကိုယ်တော်မှိုင်း သို့ အခန်း ( ၃ ) မြန်မာ ပြဇာတ် ရွေးချယ် ချက် ၉ ။ အာဇာနည် မိခင်	G12	Upper Secondary
မာတိကာ	အပိုင်း ( ၃ ) အရေး သင်ခန်းစာ ၁ ။ ပြော တဲ့ အခါ နဲ့ ရေး တဲ့ အခါ ၂ ။ နည်းလမ်း ငါး သွယ် ၃ ။ ခွန်အား ရှိ သော စာ ၄ ။ စာ ရေး နည်း နှစ် မျိုး ၅ ။ ရသ ဖန်တီး သူ ရသ နှင့် ရသ ခံစား သူ ၆ ။ ရေး ဟန်	G12	Upper Secondary
ဒွါဒသမ တန်း မြန်မာ စာ သင်ရိုး မိတ်ဆက်	နိဒါန်း ဒွါဒသမ တန်း မြန်မာ စာ သင်ရိုးသစ် ဖြစ် လာ တဲ့ နောက်ခံ အကြောင်း ကို နည်းနည်း ပြော ပြ ချင် ပါ တယ် ။ ၂၀၂၃ ဇွန် လ က စ လို့ ကြား ကာလ ပညာ ရေး လုပ်ငန်း တစ် ခု အဖြစ် ဒွါဒသမ တန်း မြန်မာ စာ သင်ရိုး ကို ပြင်ဆင် မွမ်းမံ ဖို့ ဖြစ် လာ ပါ တယ် ။ ၂၀၂၃ ခု နှစ် ဇွန် လ ၂ ၃ ရက် က စ လို့ အပတ်စဉ် သော ကြာ နေ့တိုင်း မြန်မာ စာ ဘုတ် အဖွဲ့ အစည်းအဝေး ကို ပြုလုပ် ပြီး အတွေ့အကြုံ ရှိ ဆရာ ကြီး ၊ ဆရာ မ ကြီး များ ပါ ဝင် တဲ့ သင်ရိုး ပြုစု ရေး အဖွဲ့ ကို ဖွဲ့စည်း ခဲ့ ပါ တယ် ။ စွမ်းရည် အခြေပြု ပညာ ရေး စနစ် ( Competency based Education ) ဖြစ် ဖို့ ရည်မှန်း တဲ့ အတွက် ဒွါဒသမ တန်း မြန်မာ စာ ဘာသာရပ် တတ် မြောက် မှု စွမ်းရည် ( Competency ) တွေ ကို ချမှတ် ခဲ့ ကြ ပါ တယ် ။ တတ် မြောက် မှု စွမ်းရည် တွေ ချ ပြီး ဒီ စွမ်းရည် တွေ ရောက် အောင် သင်ကြား မဲ့ သင်ခန်းစာ တွေ ရွေးချယ် ပြုစု ဖို့ တာဝန် တွေ အသီးသီး ခွဲဝေ ယူ ခဲ့ ကြ ပါ တယ် ။ ဆရာ ကြီး ၊ ဆရာ မ ကြီး တွေ က တာဝန် ကျ ရာ သင်ခန်းစာ တွေ နဲ့ လေ့ကျင့်ခန်း တွေ ကို ပြုစု ပြီး powerpoint presentation များ နဲ့ အပတ်စဉ် တင်ပြ ဆွေးနွေး ကြ ပါ တယ် ။ အထပ်ထပ် ဆွေးနွေး ပြင်ဆင် ပြီး ၂၀၂၃ နိုဝင်ဘာ ၁၄ ရက် မှာ ၁၀၀ % ပြင်ဆင် ထား တဲ့ ဒွါဒသမ တန်း မြန်မာ စာ သင်ရိုးသစ် ကို ပြုစု နိုင် ခဲ့ ပါ တယ် ။	G12	Upper Secondary
ရည်ရွယ် ချက်	သင်ရိုး ပြုစု ရေး အဖွဲ့ ရဲ့ ငါး ကြိမ်မြောက် အစည်းအဝေး မှာ ဒွါဒသမ တန်း မြန်မာ စာ သင်ရိုး ကို ၁၀၀ % ပြင်ဆင် ပြုစု ဖို့ ဆုံးဖြတ် ခဲ့ ပါ တယ် ။ ၁၀၀ % ပြင်ဆင် ရ တဲ့ ရည်ရွယ် ချက် ၃ ခု ရှိ ပါ တယ် ။	G12	Upper Secondary
ရည်ရွယ် ချက်	ပထမ ရည်ရွယ် ချက် က တိုင်းရင်းသား ဒေသ တွေ မှာ မြန်မာ စကား နဲ့ မြန်မာ စာ ကို အသုံးချ ဘာသာစကား တစ် ခု ၊ ကြား ခံ ဘာသာစကား တစ် ခု အဖြစ် ထိထိရောက်ရောက် လွယ်လွယ်ကူကူ သုံး နိုင် ဖို့ ပါ ။	G12	Upper Secondary
ရည်ရွယ် ချက်	ဒုတိယ ရည်ရွယ် ချက် က ဘာသာစကား ဆိုင်ရာ တတ် မြောက် မှု စွမ်းရည် ( အပြော စွမ်းရည် ၊ အရေး စွမ်းရည် ၊ အဖတ် စွမ်းရည် ၊ အကြား စွမ်းရည် ) ကို ပေါက် မြောက် အောင်မြင် စေ တဲ့ သင်ရိုး ဖြစ် ဖို့ ပါ ။	G12	Upper Secondary
ရည်ရွယ် ချက်	တတိယ ရည်ရွယ် ချက် က ဒွါဒသမ တန်း အတွက် ချမှတ် ထား တဲ့ တတ် မြောက် မှု စွမ်းရည် တွေ ကို အပြည့်အဝ ပေး နိုင် မဲ့ စစ်ဆေး အကဲဖြတ် မှု ( Assessment ) တွေ ကို ဖြေ ကြည့် စေ ချင် လို့ ပါ ။	G12	Upper Secondary
ရည်ရွယ် ချက်	ဒွါဒသမ တန်း မြန်မာ စာ သင်ရိုးသစ် က ဗမာ တိုင်းရင်းသား အပါအဝင် ပြည်နယ် နှင့် တိုင်း ဒေသ ကြီး အသီးသီး က တိုင်းရင်းသား အားလုံး အတွက် ရည်ရွယ် ပြုစု ထား ခြင်း ဖြစ် ပါ တယ် ။ တိုင်းရင်းသား ဆရာ ၊ ဆရာ မ များ နဲ့ ကျောင်းသား ၊ ကျောင်းသူ တွေ သင်ကြား လေ့လာ ရ ခက်ခဲ တဲ့ ရေ သည် ပြဇာတ် အစား နေ့စဉ် သုံး စကား နဲ့ ရေး ထား တဲ့ အာဇာနည် မိခင် ပြဇာတ် ကို အစားထိုး ခဲ့ ပါ တယ် ။	G12	Upper Secondary
ရည်ရွယ် ချက်	ဒီ နေရာ မှာ သင်ရိုး ပါ သင်ခန်းစာ တွေ နဲ့ လေ့ကျင့်ခန်း တွေ ဟာ နမူနာ သာ ဖြစ် ပါ တယ် ။ ဒွါဒသမ တန်း အတွက် ချမှတ် ထား တဲ့ တတ် မြောက် မှု စွမ်းရည် တွေ သာ ရ နိုင် မယ် ဆို ရင် ဘယ် စာ အမျိုးအစား ကို မ ဆို ဆက်စပ် လေ့လာ သင်ကြား နိုင် ပါ တယ် ။ တိုင်းရင်းသား က လေး တွေ အတွက် ဒုတိယ ဘာသာစကား သင်ကြား နည်းစနစ် နဲ့ သင်ကြား နိုင် ပါ တယ် ။	G12	Upper Secondary
ရည်ရွယ် ချက်	ဆရာ ၊ ဆရာ မ တို့ အ နေ နှင့် မိမိ တို့ စိတ်တိုင်းကျ လေ့ကျင့်ခန်း မေးခွန်း များ ကို ထုတ် ပြီး သင်ကြား ပေး လို့ လဲ ရ ပါ တယ် ။ BECA စာမေးပွဲ မှာ ဖတ် စာအုပ် ထ ကဲ လေ့ကျင့်ခန်း မေးခွန်း တွေ ပဲ မေး မှာ မ ဟုတ် လို့ တတ် မြောက် မှု စွမ်းရည် တွေ ရောက် အောင် ဆရာ ၊ ဆရာ မ တို့ က လွတ်လွတ်လပ်လပ် သင်ကြား ပေး ပါ ။ လေ့ကျင့်ခန်း များ များ ထည့် ပေး ခြင်း က ဆရာ တို့ ဆရာ မ တို့ သင်ကြား ပြသ မှု ကို ဘောင်ခတ် ခြင်း မ ဟုတ် ဘဲ ၊ နမူနာ အဖြစ် လေ့ကျင့် လို့ ရ အောင် ထည့် ပေး ခြင်း ပဲ ဖြစ် ပါ တယ် ။	G12	Upper Secondary
ဒွါဒသမ တန်း မြန်မာ စာ ဘာသာရပ် တတ် မြောက် မှု စွမ်းရည် ( Competency )	သင်ခန်းစာ တတ် မြောက် မှု စွမ်းရည် အပိုင်း ( ၁ ) အပြော သင်ခန်းစာ မြန်မာ ဘာသာစကား ကို ထိထိရောက်ရောက် မှန် မှန်ကန် ပြော ဆို နိုင် ခြင်း ဒြပ်မဲ့ ယဉ်ကျေး မှု အမွေအနှစ် ဖြစ် သော ဘာသာစကား နှင့် စာပေ ကို တန်ဖိုး ထား မြတ်နိုး ခြင်း အပိုင်း ( ၂ ) အရွတ် အဖတ် သင်ခန်းစာ ရသ စာပေ ၏ အလှ ၊ ရသ စာပေ ၏ တန်ဖိုး ကို ကြည့် တတ် ၊ မြင် တတ် ၊ ခံစား တတ် ခြင်း ခေတ် အသီးသီး ၌ ပေါ်ထွန်း ခဲ့ သော ကဗျာ ပုံစံ အမျိုးအမျိုး ၏ အသံ နှင့် အနက် ကို ခံစား တတ် ခြင်း ရ သ စာပေ လောက နှင့် ပြင်ပ လောက ဆက်စပ် ရှုမြင် ဝေဖန် သုံးသပ် တတ် ခြင်း အပိုင်း ( ၃ ) အရေး သင်ခန်းစာ မြန်မာ ဘာသာစကား ကို ဆက်သွယ် မှု ကြား ခံ အဖြစ် ထိထိရောက်ရောက် အသုံးချ ရေးသား နိုင် ခြင်း စာပေ ၏ အလှ ကို ခံစား နားလည် ရာ မှ တစ် ဆင့် မိမိ စိတ်ကူးစိတ်သန်း နှင့် အတွေ့အကြုံ တို့ ကို ကိုယ်ပိုင် ဟန် ဖြင့် ရေး သား နိုင် ခြင်း	G12	Upper Secondary
